,term,term_d,rate,,
2015/1/4,0d,0,2.9057,,
2015/1/4,1m,0.08,3.6228,,
2015/1/4,2m,0.17,3.5336,,
2015/1/4,3m,0.25,3.3351,,
2015/1/4,6m,0.5,3.2039,,
2015/1/4,9m,0.75,3.2425,,
2015/1/4,1y,1,3.2537,,
2015/1/4,2y,2,3.3145,,
2015/1/4,3y,3,3.3759,,
2015/1/4,4y,4,3.4481,,
2015/1/4,5y,5,3.5221,,
2015/1/4,6y,6,3.5633,,
2015/1/4,7y,7,3.5931,,
2015/1/4,8y,8,3.6131,,
2015/1/4,9y,9,3.6193,,
2015/1/4,10y,10,3.6285,,
2015/1/4,15y,15,3.8468,,
2015/1/4,20y,20,4.0367,,
2015/1/4,30y,30,4.127,,
2015/1/4,40y,40,4.1861,,
2015/1/4,50y,50,4.2529,,
2015/1/5,0d,0,2.6867,,
2015/1/5,1m,0.08,3.3578,,
2015/1/5,2m,0.17,3.341,,
2015/1/5,3m,0.25,3.3551,,
2015/1/5,6m,0.5,3.2338,,
2015/1/5,9m,0.75,3.2738,,
2015/1/5,1y,1,3.2314,,
2015/1/5,2y,2,3.3071,,
2015/1/5,3y,3,3.3783,,
2015/1/5,4y,4,3.4507,,
2015/1/5,5y,5,3.522,,
2015/1/5,6y,6,3.5663,,
2015/1/5,7y,7,3.5955,,
2015/1/5,8y,8,3.6136,,
2015/1/5,9y,9,3.6196,,
2015/1/5,10y,10,3.6251,,
2015/1/5,15y,15,3.8434,,
2015/1/5,20y,20,4.0333,,
2015/1/5,30y,30,4.1236,,
2015/1/5,40y,40,4.1827,,
2015/1/5,50y,50,4.2495,,
2015/1/6,0d,0,2.2977,,
2015/1/6,1m,0.08,3.3584,,
2015/1/6,2m,0.17,3.4259,,
2015/1/6,3m,0.25,3.3722,,
2015/1/6,6m,0.5,3.202,,
2015/1/6,9m,0.75,3.2738,,
2015/1/6,1y,1,3.2189,,
2015/1/6,2y,2,3.2901,,
2015/1/6,3y,3,3.3589,,
2015/1/6,4y,4,3.4409,,
2015/1/6,5y,5,3.5238,,
2015/1/6,6y,6,3.5659,,
2015/1/6,7y,7,3.596,,
2015/1/6,8y,8,3.6191,,
2015/1/6,9y,9,3.6265,,
2015/1/6,10y,10,3.6353,,
2015/1/6,15y,15,3.8536,,
2015/1/6,20y,20,4.0435,,
2015/1/6,30y,30,4.1338,,
2015/1/6,40y,40,4.1929,,
2015/1/6,50y,50,4.2597,,
2015/1/7,0d,0,2.2977,,
2015/1/7,1m,0.08,3.4463,,
2015/1/7,2m,0.17,3.4302,,
2015/1/7,3m,0.25,3.3722,,
2015/1/7,6m,0.5,3.1822,,
2015/1/7,9m,0.75,3.2013,,
2015/1/7,1y,1,3.1767,,
2015/1/7,2y,2,3.2522,,
2015/1/7,3y,3,3.3255,,
2015/1/7,4y,4,3.412,,
2015/1/7,5y,5,3.5001,,
2015/1/7,6y,6,3.5493,,
2015/1/7,7y,7,3.5876,,
2015/1/7,8y,8,3.6161,,
2015/1/7,9y,9,3.6277,,
2015/1/7,10y,10,3.6408,,
2015/1/7,15y,15,3.8591,,
2015/1/7,20y,20,4.049,,
2015/1/7,30y,30,4.1393,,
2015/1/7,40y,40,4.1984,,
2015/1/7,50y,50,4.2652,,
2015/1/8,0d,0,2.2467,,
2015/1/8,1m,0.08,3.4963,,
2015/1/8,2m,0.17,3.4639,,
2015/1/8,3m,0.25,3.3734,,
2015/1/8,6m,0.5,3.2022,,
2015/1/8,9m,0.75,3.201,,
2015/1/8,1y,1,3.189,,
2015/1/8,2y,2,3.2515,,
2015/1/8,3y,3,3.3146,,
2015/1/8,4y,4,3.4145,,
2015/1/8,5y,5,3.5199,,
2015/1/8,6y,6,3.558,,
2015/1/8,7y,7,3.5799,,
2015/1/8,8y,8,3.6066,,
2015/1/8,9y,9,3.6228,,
2015/1/8,10y,10,3.6415,,
2015/1/8,15y,15,3.8598,,
2015/1/8,20y,20,4.0497,,
2015/1/8,30y,30,4.14,,
2015/1/8,40y,40,4.1991,,
2015/1/8,50y,50,4.2659,,
2015/1/9,0d,0,2.2467,,
2015/1/9,1m,0.08,3.5163,,
2015/1/9,2m,0.17,3.4965,,
2015/1/9,3m,0.25,3.3534,,
2015/1/9,6m,0.5,3.2054,,
2015/1/9,9m,0.75,3.2098,,
2015/1/9,1y,1,3.1787,,
2015/1/9,2y,2,3.2576,,
2015/1/9,3y,3,3.3337,,
2015/1/9,4y,4,3.4265,,
2015/1/9,5y,5,3.5212,,
2015/1/9,6y,6,3.5632,,
2015/1/9,7y,7,3.5915,,
2015/1/9,8y,8,3.6147,,
2015/1/9,9y,9,3.6229,,
2015/1/9,10y,10,3.6348,,
2015/1/9,15y,15,3.8531,,
2015/1/9,20y,20,4.043,,
2015/1/9,30y,30,4.1333,,
2015/1/9,40y,40,4.1924,,
2015/1/9,50y,50,4.2592,,
2015/1/12,0d,0,2.1947,,
2015/1/12,1m,0.08,3.5173,,
2015/1/12,2m,0.17,3.5067,,
2015/1/12,3m,0.25,3.3634,,
2015/1/12,6m,0.5,3.2117,,
2015/1/12,9m,0.75,3.2049,,
2015/1/12,1y,1,3.2146,,
2015/1/12,2y,2,3.2544,,
2015/1/12,3y,3,3.3025,,
2015/1/12,4y,4,3.4096,,
2015/1/12,5y,5,3.5217,,
2015/1/12,6y,6,3.5558,,
2015/1/12,7y,7,3.5746,,
2015/1/12,8y,8,3.6,,
2015/1/12,9y,9,3.6175,,
2015/1/12,10y,10,3.6371,,
2015/1/12,15y,15,3.8554,,
2015/1/12,20y,20,4.0453,,
2015/1/12,30y,30,4.1456,,
2015/1/12,40y,40,4.1947,,
2015/1/12,50y,50,4.2592,,
2015/1/13,0d,0,2.1747,,
2015/1/13,1m,0.08,3.5223,,
2015/1/13,2m,0.17,3.4792,,
2015/1/13,3m,0.25,3.3433,,
2015/1/13,6m,0.5,3.2123,,
2015/1/13,9m,0.75,3.2062,,
2015/1/13,1y,1,3.2014,,
2015/1/13,2y,2,3.232,,
2015/1/13,3y,3,3.2681,,
2015/1/13,4y,4,3.3568,,
2015/1/13,5y,5,3.4551,,
2015/1/13,6y,6,3.4976,,
2015/1/13,7y,7,3.5301,,
2015/1/13,8y,8,3.5572,,
2015/1/13,9y,9,3.5697,,
2015/1/13,10y,10,3.5836,,
2015/1/13,15y,15,3.8019,,
2015/1/13,20y,20,3.9918,,
2015/1/13,30y,30,4.0921,,
2015/1/13,40y,40,4.1412,,
2015/1/13,50y,50,4.2057,,
2015/1/14,0d,0,2.1437,,
2015/1/14,1m,0.08,3.4191,,
2015/1/14,2m,0.17,3.4761,,
2015/1/14,3m,0.25,3.3433,,
2015/1/14,6m,0.5,3.218,,
2015/1/14,9m,0.75,3.2162,,
2015/1/14,1y,1,3.2012,,
2015/1/14,2y,2,3.2196,,
2015/1/14,3y,3,3.246,,
2015/1/14,4y,4,3.3367,,
2015/1/14,5y,5,3.4379,,
2015/1/14,6y,6,3.4713,,
2015/1/14,7y,7,3.4925,,
2015/1/14,8y,8,3.516,,
2015/1/14,9y,9,3.528,,
2015/1/14,10y,10,3.5411,,
2015/1/14,15y,15,3.7595,,
2015/1/14,20y,20,3.9494,,
2015/1/14,30y,30,4.0497,,
2015/1/14,40y,40,4.0988,,
2015/1/14,50y,50,4.1633,,
2015/1/15,0d,0,2.1387,,
2015/1/15,1m,0.08,3.4171,,
2015/1/15,2m,0.17,3.3961,,
2015/1/15,3m,0.25,3.2933,,
2015/1/15,6m,0.5,3.2248,,
2015/1/15,9m,0.75,3.2164,,
2015/1/15,1y,1,3.2059,,
2015/1/15,2y,2,3.209,,
2015/1/15,3y,3,3.2267,,
2015/1/15,4y,4,3.3452,,
2015/1/15,5y,5,3.4575,,
2015/1/15,6y,6,3.4836,,
2015/1/15,7y,7,3.4957,,
2015/1/15,8y,8,3.5138,,
2015/1/15,9y,9,3.5294,,
2015/1/15,10y,10,3.5464,,
2015/1/15,15y,15,3.7648,,
2015/1/15,20y,20,3.9694,,
2015/1/15,30y,30,4.0697,,
2015/1/15,40y,40,4.1088,,
2015/1/15,50y,50,4.1686,,
2015/1/16,0d,0,2.1407,,
