,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000012.XSHE,430000012,中国南玻集团股份有限公司,000012.XSHE,2011-12-31,年度分红,2012-03-27,10派1.8元(含税),207583.706,2012-04-18,10派1.8元(含税),207583.706,2012-05-19,10派1.8元(含税),207533.556,1.8,37356.0401,2012-05-24,2012-05-25,2012-05-25,207533.556,313002,实施方案
000024.XSHE,430000024,招商局地产控股股份有限公司,000024.XSHE,2011-12-31,年度分红,2012-03-20,10派2元(含税),171730.0503,2012-04-18,10派2元(含税),171730.0503,2012-05-17,10派2元(含税),171730.0503,2.0,34346.0101,2012-05-24,2012-05-25,2012-05-25,171730.0503,313002,实施方案
002269.XSHE,300005143,上海美特斯邦威服饰股份有限公司,002269.XSHE,2011-12-31,年度分红,2012-04-26,10派8.4元(含税),100500.0,2012-05-17,10派8.4元(含税),100500.0,2012-05-18,10派8.4元(含税),100500.0,8.4,84420.0,2012-05-24,2012-05-25,2012-05-25,100500.0,313002,实施方案
600015.XSHG,420600015,华夏银行股份有限公司,600015.XSHG,2011-12-31,年度分红,2012-03-27,10派2.5元(含税),684972.5776,2012-04-18,10派2.5元(含税),684972.5776,2012-05-11,10派2.5元(含税),684972.5776,2.5,171243.1444,2012-05-17,2012-05-18,2012-05-25,684972.5776,313002,实施方案
600118.XSHG,420600118,中国东方红卫星股份有限公司,600118.XSHG,2011-12-31,年度分红,2012-03-07,10送1转增2股派0.5元(含税),70507.598,2012-03-31,10送1转增2股派0.5元(含税),70507.598,2012-05-14,10送1转增2股派0.5元(含税),70507.598,0.5,3525.3799,2012-05-21,2012-05-22,2012-05-25,70507.598,313002,实施方案
600160.XSHG,420600160,浙江巨化股份有限公司,600160.XSHG,2011-12-31,年度分红,2012-03-24,10转增6股派5元(含税),88557.4,2012-04-19,10转增6股派5元(含税),88557.4,2012-05-15,10转增6股派5元(含税),88557.4,5.0,44278.7,2012-05-18,2012-05-21,2012-05-25,88557.4,313002,实施方案
600325.XSHG,420600325,珠海华发实业股份有限公司,600325.XSHG,2011-12-31,年度分红,2012-02-28,10派1元(含税),81704.562,2012-03-24,10派1元(含税),81704.562,2012-05-15,10派1元(含税),81704.562,1.0,8170.4562,2012-05-21,2012-05-22,2012-05-25,81704.562,313002,实施方案
600481.XSHG,420600481,双良节能系统股份有限公司,600481.XSHG,2011-12-31,年度分红,2012-03-10,10派1.5元(含税),81010.3267,2012-03-31,10派1.5元(含税),81010.3267,2012-05-16,10派1.5元(含税),81010.3267,1.5,12151.548999999999,2012-05-21,2012-05-22,2012-05-25,81010.3267,313002,实施方案
600498.XSHG,420600498,烽火通信科技股份有限公司,600498.XSHG,2011-12-31,年度分红,2012-04-21,10派2.2元(含税),44233.6125,2012-05-12,10派2.2元(含税),44233.6125,2012-05-16,10派2.2元(含税),44233.6125,2.2,9731.3948,2012-05-21,2012-05-22,2012-05-25,44233.6125,313002,实施方案
600675.XSHG,420600675,中华企业股份有限公司,600675.XSHG,2011-12-31,年度分红,2012-03-16,10送1股派0.15元(含税),141443.8938,2012-04-11,10送1股派0.15元(含税),141443.8938,2012-05-15,10送1股派0.15元(含税),141443.8938,0.15,2121.6584,2012-05-18,2012-05-21,2012-05-25,141443.8938,313002,实施方案
601633.XSHG,410002333,长城汽车股份有限公司,601633.XSHG,2011-12-31,年度分红,2012-03-17,10派3元(含税),304242.3,2012-05-08,10派3元(含税),304242.3,2012-05-15,10派3元(含税),304242.3,3.0,91272.69,2012-05-18,2012-05-21,2012-05-25,304242.3,313002,实施方案
