,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000039,144167,430000039,中国国际海运集装箱(集团)股份有限公司,000039.XSHE,2011-12-31,年度分红,2012-03-23,10派4.6元(含税),266239.6051,2012-05-26,10派4.6元(含税),266239.6051,2012-06-14,10派4.6元(含税),266239.6051,4.6,122470.2183,2012-06-20,2012-06-21,2012-06-21,266239.6051,313002,实施方案
000807,157051,430000807,云南铝业股份有限公司,000807.XSHE,2011-12-31,年度分红,2012-03-31,10派0.3元(含税),153917.2984,2012-04-26,10派0.3元(含税),153917.2984,2012-06-14,10派0.3元(含税),153917.2984,0.3,4617.519,2012-06-20,2012-06-21,2012-06-21,153917.2984,313002,实施方案
000883,158934,430000883,湖北能源集团股份有限公司,000883.XSHE,2011-12-31,年度分红,2012-04-27,10派0.4元(含税),206779.9713,2012-05-19,10派0.4元(含税),206779.9713,2012-06-15,10派0.4元(含税),206779.9713,0.4,8271.1989,2012-06-20,2012-06-21,2012-06-21,206779.9713,313002,实施方案
000938,160685,430000938,紫光股份有限公司,000938.XSHE,2011-12-31,年度分红,2012-04-06,10派0.6元(含税),20608.0,2012-04-28,10派0.6元(含税),20608.0,2012-06-14,10派0.6元(含税),20608.0,0.6,1236.48,2012-06-20,2012-06-21,2012-06-21,20608.0,313002,实施方案
000977,161671,430000977,浪潮电子信息产业股份有限公司,000977.XSHE,2011-12-31,年度分红,2012-04-11,10派1元(含税),21500.0,2012-05-11,10派1元(含税),21500.0,2012-06-14,10派1元(含税),21500.0,1.0,2150.0,2012-06-20,2012-06-21,2012-06-21,21500.0,313002,实施方案
002500,164410,460000279,山西证券股份有限公司,002500.XSHE,2011-12-31,年度分红,2012-04-24,10派0.5元(含税),239980.0,2012-05-16,10派0.5元(含税),239980.0,2012-06-15,10派0.5元(含税),239980.0,0.5,11999.0,2012-06-20,2012-06-21,2012-06-21,239980.0,313002,实施方案
002625,16649,300021556,光启技术股份有限公司,002625.XSHE,2011-12-31,年度分红,2012-04-12,10转增5股派1元(含税),7733.8,2012-05-09,10转增5股派1元(含税),7733.8,2012-06-15,10转增5股派1元(含税),7733.8,1.0,773.38,2012-06-20,2012-06-21,2012-06-21,7733.8,313002,实施方案
600006,22803,420600006,东风汽车股份有限公司,600006.XSHG,2011-12-31,年度分红,2012-03-27,10派0.5元(含税),200000.0,2012-04-26,10派0.5元(含税),200000.0,2012-06-12,10派0.5元(含税),200000.0,0.5,10000.0,2012-06-15,2012-06-18,2012-06-21,200000.0,313002,实施方案
600017,641,300000981,日照港股份有限公司,600017.XSHG,2011-12-31,年度分红,2012-04-27,10派0.6元(含税),307565.3888,2012-05-18,10派0.6元(含税),307565.3888,2012-06-11,10派0.6元(含税),307565.3888,0.6,18453.9233,2012-06-14,2012-06-15,2012-06-21,307565.3888,313002,实施方案
600048,83,300000161,保利房地产(集团)股份有限公司,600048.XSHG,2011-12-31,年度分红,2012-04-06,10转增2股派2.15元(含税),594832.8659,2012-04-27,10转增2股派2.15元(含税),594832.8659,2012-06-12,10转增2股派2.15元(含税),594832.8659,2.15,127889.0662,2012-06-15,2012-06-18,2012-06-21,594832.8659,313002,实施方案
600570,39271,420600570,恒生电子股份有限公司,600570.XSHG,2011-12-31,年度分红,2012-03-29,10派0.8元(含税),62375.04,2012-04-25,10派0.8元(含税),62375.04,2012-06-12,10派0.8元(含税),62375.04,0.8,4990.0032,2012-06-15,2012-06-18,2012-06-21,62375.04,313002,实施方案
601158,9211,300011267,重庆水务集团股份有限公司,601158.XSHG,2011-12-31,年度分红,2012-04-05,10派2.33元(含税),480000.0,2012-04-28,10派2.33元(含税),480000.0,2012-06-11,10派2.33元(含税),480000.0,2.33,111840.0,2012-06-14,2012-06-15,2012-06-21,480000.0,313002,实施方案
601668,5835,300005970,中国建筑股份有限公司,601668.XSHG,2011-12-31,年度分红,2012-04-20,10派0.8元(含税),3000000.0,2012-05-14,10派0.8元(含税),3000000.0,2012-06-05,10派0.8元(含税),3000000.0,0.8,240000.0,2012-06-11,2012-06-12,2012-06-21,3000000.0,313002,实施方案
601699,463,300000721,山西潞安环保能源开发股份有限公司,601699.XSHG,2011-12-31,年度分红,2012-03-30,10派5元(含税),230108.4,2012-06-01,10派5元(含税),230108.4,2012-06-11,10派5元(含税),230108.4,5.0,115054.2,2012-06-14,2012-06-15,2012-06-21,230108.4,313002,实施方案
601933,13341,300016367,永辉超市股份有限公司,601933.XSHG,2011-12-31,年度分红,2012-04-12,10派2元(含税),76790.0,2012-05-09,10派2元(含税),76790.0,2012-06-11,10派2元(含税),76790.0,2.0,15358.0,2012-06-14,2012-06-15,2012-06-21,76790.0,313002,实施方案
