,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000027,143633,430000027,深圳能源集团股份有限公司,000027.XSHE,2012-12-31,年度分红,2013-04-18,10派1元(含税),264299.4398,2013-05-09,10派1元(含税),264299.4398,2013-05-24,10派1元(含税),264299.4398,1.0,0.95,26429.944,2013-05-30,2013-05-31,2013-05-31,264299.4398,313002,实施方案
000559,149254,430000559,万向钱潮股份有限公司,000559.XSHE,2012-12-31,年度分红,2013-03-30,10派2.4元(含税),159326.3574,2013-04-20,10派2.4元(含税),159326.3574,2013-05-24,10派2.4元(含税),159326.3574,2.4,2.28,38238.3258,2013-05-30,2013-05-31,2013-05-31,159326.3574,313002,实施方案
002244,5126,300004730,杭州滨江房产集团股份有限公司,002244.XSHE,2012-12-31,年度分红,2013-04-16,10派0.94元(含税),135200.0,2013-05-08,10派0.94元(含税),135200.0,2013-05-23,10派0.94元(含税),135200.0,0.94,0.893,12708.8,2013-05-30,2013-05-31,2013-05-31,135200.0,313002,实施方案
002344,8355,300010329,海宁中国皮革城股份有限公司,002344.XSHE,2012-12-31,年度分红,2013-04-20,10转增10股派2.5元(含税),56000.0,2013-05-16,10转增10股派2.5元(含税),56000.0,2013-05-25,10转增10股派2.5元(含税),56000.0,2.5,2.375,14000.0,2013-05-30,2013-05-31,2013-05-31,56000.0,313002,实施方案
300002,6426,300008268,北京神州泰岳软件股份有限公司,300002.XSHE,2012-12-31,年度分红,2013-04-26,10转增6股派4元(含税),38338.37,2013-05-21,10转增6股派4元(含税),38338.37,2013-05-24,10转增6股派4元(含税),38338.37,4.0,3.8,15335.348,2013-05-30,2013-05-31,2013-05-31,38338.37,313002,实施方案
300017,6698,300008387,网宿科技股份有限公司,300017.XSHE,2012-12-31,年度分红,2013-03-20,10派2元(含税),15421.4286,2013-04-13,10派2元(含税),15421.4286,2013-05-25,10派1.987409元(含税),15519.1286,1.9874,1.8880000000000001,3084.2856,2013-05-30,2013-05-31,2013-05-31,15519.1286,313002,实施方案
600312,32738,420600312,河南平高电气股份有限公司,600312.XSHG,2012-12-31,年度分红,2013-03-30,10派0.5元(含税),81896.6173,2013-05-11,10派0.5元(含税),81896.6173,2013-05-20,10派0.5元(含税),81896.6173,0.5,0.475,4094.8309,2013-05-24,2013-05-27,2013-05-31,81896.6173,313002,实施方案
600517,37805,420600517,上海置信电气股份有限公司,600517.XSHG,2012-12-31,年度分红,2013-03-21,10派1.5元(含税),61870.5,2013-04-11,10派1.5元(含税),61870.5,2013-05-21,10派1.5元(含税),61870.5,1.5,1.425,9280.575,2013-05-24,2013-05-27,2013-05-31,61870.5,313002,实施方案
600597,40085,420600597,光明乳业股份有限公司,600597.XSHG,2012-12-31,年度分红,2013-03-26,10派1.8元(含税),122459.7659,2013-04-20,10派1.8元(含税),122459.7659,2013-05-21,10派1.8元(含税),122459.7659,1.8,1.71,22042.7579,2013-05-24,2013-05-27,2013-05-31,122459.7659,313002,实施方案
600779,136402,420600779,四川水井坊股份有限公司,600779.XSHG,2012-12-31,年度分红,2013-03-28,10派2.3元(含税),48854.5698,2013-04-18,10派2.3元(含税),48854.5698,2013-05-21,10派2.3元(含税),48854.5698,2.3,2.185,11236.5511,2013-05-24,2013-05-27,2013-05-31,48854.5698,313002,实施方案
600970,141581,420600970,中国中材国际工程股份有限公司,600970.XSHG,2012-12-31,年度分红,2013-03-26,10派2.1元(含税),109329.726,2013-04-19,10派2.1元(含税),109329.726,2013-05-21,10派2.1元(含税),109329.726,2.1,1.995,22959.2425,2013-05-24,2013-05-27,2013-05-31,109329.726,313002,实施方案
601958,4721,300004461,金堆城钼业股份有限公司,601958.XSHG,2012-12-31,年度分红,2013-03-19,10派1.6元(含税),322660.44,2013-04-20,10派1.6元(含税),322660.44,2013-05-22,10派1.6元(含税),322660.44,1.6,1.52,51625.6704,2013-05-27,2013-05-28,2013-05-31,322660.44,313002,实施方案
