,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000401.XSHE,430000401,唐山冀东水泥股份有限公司,000401.XSHE,2012-12-31,年度分红,2013-04-16,10派1元(含税),134752.2914,2013-05-24,10派1元(含税),134752.2914,2013-07-05,10派1元(含税),134752.2914,1.0,0.95,13475.2291,2013-07-11,2013-07-12,2013-07-12,134752.2914,313002,实施方案
000540.XSHE,430000540,中天金融集团股份有限公司,000540.XSHE,2012-12-31,年度分红,2013-04-27,10派1元(含税),127881.2292,2013-05-23,10派1元(含税),127881.2292,2013-07-06,10派1元(含税),127881.2292,1.0,0.95,12788.1229,2013-07-11,2013-07-12,2013-07-12,127881.2292,313002,实施方案
000685.XSHE,430000685,中山公用事业集团股份有限公司,000685.XSHE,2012-12-31,年度分红,2013-04-23,10派1元(含税),77868.3215,2013-05-16,10派1元(含税),77868.3215,2013-07-06,10派1元(含税),77868.3215,1.0,0.95,7786.8322,2013-07-11,2013-07-12,2013-07-12,77868.3215,313002,实施方案
002142.XSHE,300003281,宁波银行股份有限公司,002142.XSHE,2012-12-31,年度分红,2013-04-24,10派2.5元(含税),288382.0529,2013-05-17,10派2.5元(含税),288382.0529,2013-07-05,10派2.5元(含税),288382.0529,2.5,2.375,72095.5132,2013-07-11,2013-07-12,2013-07-12,288382.0529,313002,实施方案
600153.XSHG,420600153,厦门建发股份有限公司,600153.XSHG,2012-12-31,年度分红,2013-04-10,10派1.5元(含税),223775.0741,2013-05-24,10派1.5元(含税),223775.0741,2013-07-03,10派1.5元(含税),223775.0741,1.5,1.425,33566.2611,2013-07-08,2013-07-09,2013-07-12,223775.0741,313002,实施方案
600316.XSHG,420600316,江西洪都航空工业股份有限公司,600316.XSHG,2012-12-31,年度分红,2013-03-26,10派0.1元(含税),71711.4512,2013-05-17,10派0.1元(含税),71711.4512,2013-07-03,10派0.1元(含税),71711.4512,0.1,0.095,717.1145,2013-07-08,2013-07-09,2013-07-12,71711.4512,313002,实施方案
600682.XSHG,420600682,南京新街口百货商店股份有限公司,600682.XSHG,2012-12-31,年度分红,2013-03-28,10派1元(含税),35832.1685,2013-05-16,10派1元(含税),35832.1685,2013-07-02,10派1元(含税),35832.1685,1.0,0.95,3583.2169,2013-07-08,2013-07-09,2013-07-12,35832.1685,313002,实施方案
600741.XSHG,420600741,华域汽车系统股份有限公司,600741.XSHG,2012-12-31,年度分红,2013-03-23,10派3.7元(含税),258320.0175,2013-06-01,10派3.7元(含税),258320.0175,2013-07-02,10派3.7元(含税),258320.0175,3.7,3.515,95578.4065,2013-07-05,2013-07-08,2013-07-12,258320.0175,313002,实施方案
600863.XSHG,420600863,内蒙古蒙电华能热电股份有限公司,600863.XSHG,2012-12-31,年度分红,2013-04-08,10转增5股派2.2元(含税),258122.0,2013-06-15,10转增5股派2.2元(含税),258122.0,2013-07-02,10转增5股派2.2元(含税),258122.0,2.2,2.09,56786.84,2013-07-05,2013-07-08,2013-07-12,258122.0,313002,实施方案
601088.XSHG,300003701,中国神华能源股份有限公司,601088.XSHG,2012-12-31,年度分红,2013-03-23,10派9.6元(含税),1988962.0455,2013-06-22,10派9.6元(含税),1988962.0455,2013-06-28,10派9.6元(含税),1988962.0455,9.6,9.12,1909403.5637,2013-07-05,2013-07-08,2013-07-12,1988962.0455,313002,实施方案
601699.XSHG,300000721,山西潞安环保能源开发股份有限公司,601699.XSHG,2012-12-31,年度分红,2013-03-27,10派3.36元(含税),230108.4,2013-05-31,10派3.36元(含税),230108.4,2013-06-28,10派3.36元(含税),230108.4,3.36,3.1919999999999997,77316.4224,2013-07-04,2013-07-05,2013-07-12,230108.4,313002,实施方案
601718.XSHG,300013870,际华集团股份有限公司,601718.XSHG,2012-12-31,年度分红,2013-04-23,10派0.3元(含税),385700.0,2013-05-25,10派0.3元(含税),385700.0,2013-07-02,10派0.3元(含税),385700.0,0.3,0.285,11571.0,2013-07-05,2013-07-08,2013-07-12,385700.0,313002,实施方案
601766.XSHG,300005127,中国中车股份有限公司,601766.XSHG,2012-12-31,年度分红,2013-03-29,10派0.9元(含税),1380300.0,2013-05-31,10派0.9元(含税),1380300.0,2013-07-02,10派0.9元(含税),1380300.0,0.9,0.855,124227.0,2013-07-05,2013-07-08,2013-07-12,1380300.0,313002,实施方案
