,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,bonus_ratio_rmb,at_bonus_ratio_rmb,a_registration_date,a_xr_date,a_bonus_date,plan_progress_code,plan_progress
000538,148400,430000538,云南白药集团股份有限公司,000538.XSHE,2013-12-31,年度分红,2014-03-28,10送5股派5元(含税),2014-05-09,10送5股派5元(含税),2014-05-21,10送5股派5元(含税),5.0,4.5,2014-05-27,2014-05-28,2014-05-28,313002,实施方案
000625,151591,430000625,重庆长安汽车股份有限公司,000625.XSHE,2013-12-31,年度分红,2014-04-17,10派1元(含税),2014-05-09,10派1元(含税),2014-05-21,10派1元(含税),1.0,0.95,2014-05-27,2014-05-28,2014-05-28,313002,实施方案
000703,153986,430000703,恒逸石化股份有限公司,000703.XSHE,2013-12-31,年度分红,2014-03-12,10派1元(含税),2014-04-03,10派1元(含税),2014-05-22,10派1元(含税),1.0,0.95,2014-05-27,2014-05-28,2014-05-28,313002,实施方案
000728,154851,430000728,国元证券股份有限公司,000728.XSHE,2013-12-31,年度分红,2014-03-18,10派1元(含税),2014-04-28,10派1元(含税),2014-05-22,10派1元(含税),1.0,0.95,2014-05-27,2014-05-28,2014-05-28,313002,实施方案
300122,11699,300014108,重庆智飞生物制品股份有限公司,300122.XSHE,2013-12-31,年度分红,2014-04-25,10转增10股派2元(含税),2014-05-16,10转增10股派2元(含税),2014-05-21,10转增10股派2元(含税),2.0,1.9,2014-05-27,2014-05-28,2014-05-28,313002,实施方案
600048,87,300000161,保利房地产(集团)股份有限公司,600048.XSHG,2013-12-31,年度分红,2014-04-01,10转增5股派2.94元（含税）,2014-04-22,10转增5股派2.94元（含税）,2014-05-16,10转增5股派2.94元（含税）,2.94,2.793,2014-05-21,2014-05-22,2014-05-28,313002,实施方案
600157,27596,420600157,永泰能源股份有限公司,600157.XSHG,2013-12-31,年度分红,2014-04-19,10转增10股派1元(含税),2014-05-10,10转增10股派1元(含税),2014-05-16,10转增10股派1元(含税),1.0,0.95,2014-05-21,2014-05-22,2014-05-28,313002,实施方案
600177,28301,420600177,雅戈尔集团股份有限公司,600177.XSHG,2013-12-31,年度分红,2014-03-25,10派5元(含税),2014-04-15,10派5元(含税),2014-05-19,10派5元(含税),5.0,4.75,2014-05-22,2014-05-23,2014-05-28,313002,实施方案
600369,34359,420600369,西南证券股份有限公司,600369.XSHG,2013-12-31,年度分红,2014-03-05,10派1.2元(含税),2014-03-29,10派1.2元(含税),2014-05-15,10派1.2元(含税),1.2,1.14,2014-05-21,2014-05-22,2014-05-28,313002,实施方案
600498,37257,420600498,烽火通信科技股份有限公司,600498.XSHG,2013-12-31,年度分红,2014-04-19,10派1.7元(含税),2014-05-10,10派1.7元(含税),2014-05-16,10派1.7元(含税),1.7,1.615,2014-05-21,2014-05-22,2014-05-28,313002,实施方案
600570,39275,420600570,恒生电子股份有限公司,600570.XSHG,2013-12-31,年度分红,2014-04-15,10派1.6元(含税),2014-05-08,10派1.6元(含税),2014-05-19,10派1.6元(含税),1.6,1.52,2014-05-22,2014-05-23,2014-05-28,313002,实施方案
600823,138165,420600823,上海世茂股份有限公司,600823.XSHG,2013-12-31,年度分红,2014-03-21,10派1.5元(含税),2014-04-16,10派1.5元(含税),2014-05-16,10派1.5元(含税),1.5,1.425,2014-05-21,2014-05-22,2014-05-28,313002,实施方案
601566,15414,300019841,九牧王股份有限公司,601566.XSHG,2013-12-31,年度分红,2014-04-18,10派7元(含税),2014-05-09,10派7元(含税),2014-05-17,10派7元(含税),7.0,7.0,2014-05-22,2014-05-23,2014-05-28,313002,实施方案
603993,22581,410003993,洛阳栾川钼业集团股份有限公司,603993.XSHG,2013-12-31,年度分红,2014-02-27,10派1.4元(含税),2014-05-10,10派1.4元(含税),2014-05-16,10派1.4元(含税),1.4,1.33,2014-05-21,2014-05-22,2014-05-28,313002,实施方案
