,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000627.XSHE,430000627,天茂实业集团股份有限公司,000627.XSHE,2017-12-31,年度分红,2018-04-28,10派0.1元(含税),2018-05-19,10派0.1元(含税),2018-05-31,10派0.1元(含税),494062.9165,0.1,0.1,4940.6292,2018-06-07,2018-06-08,2018-06-08,494062.9165,313002,实施方案
002500.XSHE,460000279,山西证券股份有限公司,002500.XSHE,2017-12-31,年度分红,2018-04-03,10派0.9元（含税）,2018-04-28,10派0.9元（含税）,2018-06-02,10派0.9元（含税）,282872.5153,0.9,0.9,25458.5264,2018-06-07,2018-06-08,2018-06-08,282872.5153,313002,实施方案
600017.XSHG,300000981,日照港股份有限公司,600017.XSHG,2017-12-31,年度分红,2018-03-20,10派0.2元(含税),2018-04-13,10派0.2元(含税),2018-06-01,10派0.2元(含税),307565.3888,0.2,0.2,6151.3078,2018-06-07,2018-06-08,2018-06-08,307565.3888,313002,实施方案
600018.XSHG,300001281,上海国际港务(集团)股份有限公司,600018.XSHG,2017-12-31,年度分红,2018-03-28,10派1.72元(含税),2018-05-19,10派1.72元(含税),2018-05-31,10派1.72元(含税),2317367.465,1.72,1.72,398587.20399999997,2018-06-07,2018-06-08,2018-06-08,2317367.465,313002,实施方案
600019.XSHG,420600019,宝山钢铁股份有限公司,600019.XSHG,2017-12-31,年度分红,2018-04-10,10派4.5元(含税),2018-05-26,10派4.5元(含税),2018-06-04,10派4.5元(含税),2226791.5125,4.5,4.5,1002056.1806,2018-06-07,2018-06-08,2018-06-08,2226791.5125,313002,实施方案
600037.XSHG,420600037,北京歌华有线电视网络股份有限公司,600037.XSHG,2017-12-31,年度分红,2018-04-14,10派1.8元(含税),2018-05-11,10派1.8元(含税),2018-06-01,10派1.8元(含税),139177.7884,1.8,1.8,25052.0019,2018-06-07,2018-06-08,2018-06-08,139177.7884,313002,实施方案
600048.XSHG,300000161,保利房地产(集团)股份有限公司,600048.XSHG,2017-12-31,年度分红,2018-04-17,10派4元(含税),2018-05-18,10派4元(含税),2018-06-04,10派4元(含税),1185844.1061,4.0,4.0,474337.6424,2018-06-07,2018-06-08,2018-06-08,1185844.1061,313002,实施方案
600352.XSHG,420600352,浙江龙盛集团股份有限公司,600352.XSHG,2017-12-31,年度分红,2018-04-10,10派2.5元(含税),2018-05-05,10派2.5元(含税),2018-06-01,10派2.5元(含税),325333.186,2.5,2.5,81333.2965,2018-06-07,2018-06-08,2018-06-08,325333.186,313002,实施方案
600398.XSHG,420600398,海澜之家股份有限公司,600398.XSHG,2017-12-31,年度分红,2018-03-24,10派4.8元(含税),2018-04-20,10派4.8元(含税),2018-06-02,10派4.8元(含税),449275.7924,4.8,4.8,215652.3804,2018-06-07,2018-06-08,2018-06-08,449275.7924,313002,实施方案
600436.XSHG,420600436,漳州片仔癀药业股份有限公司,600436.XSHG,2017-12-31,年度分红,2018-04-16,10派4.3元(含税),2018-05-09,10派4.3元(含税),2018-06-01,10派4.3元(含税),60331.721,4.3,4.3,25942.64,2018-06-07,2018-06-08,2018-06-08,60331.721,313002,实施方案
601158.XSHG,300011267,重庆水务集团股份有限公司,601158.XSHG,2017-12-31,年度分红,2018-03-24,10派3元(含税),2018-04-27,10派3元(含税),2018-05-31,10派3元(含税),480000.0,3.0,3.0,144000.0,2018-06-07,2018-06-08,2018-06-08,480000.0,313002,实施方案
601231.XSHG,300022058,环旭电子股份有限公司,601231.XSHG,2017-12-31,年度分红,2018-03-24,10派1.85元(含税),2018-04-26,10派1.85元(含税),2018-06-01,10派1.85元(含税),217592.358,1.85,1.85,40254.5862,2018-06-07,2018-06-08,2018-06-08,217592.358,313002,实施方案
601838.XSHG,300021318,成都银行股份有限公司,601838.XSHG,2017-12-31,年度分红,2018-04-26,10派2.8元(含税),2018-05-17,10派2.8元(含税),2018-06-01,10派2.8元(含税),361225.1334,2.8,2.8,101143.0374,2018-06-07,2018-06-08,2018-06-08,361225.1334,313002,实施方案
