,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000069,44078,430000069,深圳华侨城股份有限公司,000069.XSHE,2017-12-31,年度分红,2018-04-27,10派3元(含税),2018-05-19,10派3元(含税),2018-06-27,10派3元(含税),820408.1415,3.0,3.0,246122.4425,2018-07-04,2018-07-05,2018-07-05,820408.1415,313002,实施方案
000938,44638,430000938,紫光股份有限公司,000938.XSHE,2017-12-31,年度分红,2018-04-26,10转增4股派2元(含税),2018-05-18,10转增4股派2元(含税),2018-06-28,10转增4股派2元(含税),104230.3162,2.0,2.0,20846.0632,2018-07-04,2018-07-05,2018-07-05,104230.3162,313002,实施方案
002024,44751,430002024,苏宁易购集团股份有限公司,002024.XSHE,2017-12-31,年度分红,2018-03-31,10派1元(含税),2018-05-09,10派1元(含税),2018-06-29,10派1元(含税),931003.9655,1.0,1.0,93100.3966,2018-07-04,2018-07-05,2018-07-05,931003.9655,313002,实施方案
002555,14392,300018279,芜湖顺荣三七互娱网络科技股份有限公司,002555.XSHE,2017-12-31,年度分红,2018-04-24,10派1元(含税),2018-05-15,10派1元(含税),2018-06-28,10派1元(含税),212487.0253,1.0,1.0,21248.7025,2018-07-04,2018-07-05,2018-07-05,212487.0253,313002,实施方案
600016,23098,420600016,中国民生银行股份有限公司,600016.XSHG,2017-12-31,年度分红,2018-04-12,10转增2股派0.9元(含税),2018-06-22,10转增2股派0.9元(含税),2018-06-29,10转增2股派0.9元(含税),3648534.8752,0.9,0.9,328368.1388,2018-07-04,2018-07-05,2018-07-05,3648534.8752,313002,实施方案
600060,24047,420600060,青岛海信电器股份有限公司,600060.XSHG,2017-12-31,年度分红,2018-03-29,10派2.16元(含税),2018-06-06,10派2.16元(含税),2018-06-27,10派2.16元(含税),130848.1222,2.16,2.16,28263.1944,2018-07-04,2018-07-05,2018-07-05,130848.1222,313002,实施方案
600079,24808,420600079,人福医药集团股份公司,600079.XSHG,2017-12-31,年度分红,2018-04-12,10派1.6元(含税),2018-05-08,10派1.6元(含税),2018-06-27,10派1.6元(含税),135370.4302,1.6,1.6,21659.2688,2018-07-04,2018-07-05,2018-07-05,135370.4302,313002,实施方案
600089,25209,420600089,特变电工股份有限公司,600089.XSHG,2017-12-31,年度分红,2018-04-17,10派2.1元(含税),2018-05-08,10派2.1元(含税),2018-06-28,10派2.1元(含税),371450.2789,2.1,2.1,78004.5586,2018-07-04,2018-07-05,2018-07-05,371450.2789,313002,实施方案
600100,25633,420600100,同方股份有限公司,600100.XSHG,2017-12-31,年度分红,2018-04-21,10派0.15元(含税),2018-05-16,10派0.15元(含税),2018-06-27,10派0.15元(含税),296389.8951,0.15,0.15,4445.8484,2018-07-04,2018-07-05,2018-07-05,296389.8951,313002,实施方案
600123,26542,420600123,山西兰花科技创业股份有限公司,600123.XSHG,2017-12-31,年度分红,2018-04-24,10派2.2元(含税),2018-05-26,10派2.2元(含税),2018-06-27,10派2.2元(含税),114240.0,2.2,2.2,25132.8,2018-07-04,2018-07-05,2018-07-05,114240.0,313002,实施方案
600456,36292,420600456,宝鸡钛业股份有限公司,600456.XSHG,2017-12-31,年度分红,2018-04-20,10派0.5元(含税),2018-05-12,10派0.5元(含税),2018-06-28,10派0.5元(含税),43026.57,0.5,0.5,2151.3285,2018-07-04,2018-07-05,2018-07-05,43026.57,313002,实施方案
600682,43750,420600682,南京新街口百货商店股份有限公司,600682.XSHG,2017-12-31,年度分红,2018-03-31,10派0.9元(含税),2018-05-10,10派0.9元(含税),2018-06-28,10派0.9元(含税),111197.4472,0.9,0.9,10007.7702,2018-07-04,2018-07-05,2018-07-05,111197.4472,313002,实施方案
600718,43778,420600718,东软集团股份有限公司,600718.XSHG,2017-12-31,年度分红,2018-03-31,10派0.9元(含税),2018-05-11,10派0.9元(含税),2018-06-29,10派0.9元(含税),124267.8005,0.9,0.9,11184.101999999999,2018-07-04,2018-07-05,2018-07-05,124267.8005,313002,实施方案
