code,display_name,date,weight
000413.XSHE,东旭光电,2016-08-23,0.249
000415.XSHE,渤海租赁,2016-08-23,0.146
600317.XSHG,营口港,2016-08-23,0.084
601009.XSHG,南京银行,2016-08-23,0.434
600252.XSHG,中恒集团,2016-08-23,0.141
000825.XSHE,太钢不锈,2016-08-23,0.09
000826.XSHE,启迪桑德,2016-08-23,0.181
600256.XSHG,广汇能源,2016-08-23,0.165
000709.XSHE,河钢股份,2016-08-23,0.14
000559.XSHE,万向钱潮,2016-08-23,0.195
000156.XSHE,华数传媒,2016-08-23,0.093
000157.XSHE,中联重科,2016-08-23,0.212
000623.XSHE,吉林敖东,2016-08-23,0.213
600827.XSHG,百联股份,2016-08-23,0.114
002450.XSHE,ST康得新,2016-08-23,0.534
600816.XSHG,安信信托,2016-08-23,0.197
600893.XSHG,航发动力,2016-08-23,0.316
600783.XSHG,鲁信创投,2016-08-23,0.074
601872.XSHG,招商轮船,2016-08-23,0.128
600089.XSHG,特变电工,2016-08-23,0.271
600895.XSHG,张江高科,2016-08-23,0.162
601117.XSHG,中国化学,2016-08-23,0.129
600085.XSHG,同仁堂,2016-08-23,0.203
000792.XSHE,盐湖股份,2016-08-23,0.171
600005.XSHG,武钢股份,2016-08-23,0.129
300027.XSHE,华谊兄弟,2016-08-23,0.287
600000.XSHG,浦发银行,2016-08-23,1.568
600648.XSHG,外高桥,2016-08-23,0.087
600649.XSHG,城投控股,2016-08-23,0.248
001979.XSHE,招商蛇口,2016-08-23,0.42
300124.XSHE,汇川技术,2016-08-23,0.198
600415.XSHG,小商品城,2016-08-23,0.205
601633.XSHG,长城汽车,2016-08-23,0.153
600008.XSHG,首创股份,2016-08-23,0.109
600009.XSHG,上海机场,2016-08-23,0.31
300144.XSHE,宋城演艺,2016-08-23,0.154
600066.XSHG,宇通客车,2016-08-23,0.352
002568.XSHE,百润股份,2016-08-23,0.047
600060.XSHG,海信电器,2016-08-23,0.162
600061.XSHG,国投资本,2016-08-23,0.212
000425.XSHE,徐工机械,2016-08-23,0.152
601988.XSHG,中国银行,2016-08-23,0.813
601989.XSHG,中国重工,2016-08-23,0.703
000738.XSHE,航发控制,2016-08-23,0.14
600958.XSHG,东方证券,2016-08-23,0.502
600068.XSHG,葛洲坝,2016-08-23,0.222
000423.XSHE,东阿阿胶,2016-08-23,0.348
600660.XSHG,福耀玻璃,2016-08-23,0.266
601225.XSHG,陕西煤业,2016-08-23,0.131
601866.XSHG,中远海发,2016-08-23,0.147
000630.XSHE,铜陵有色,2016-08-23,0.199
600998.XSHG,九州通,2016-08-23,0.078
601390.XSHG,中国中铁,2016-08-23,0.442
002152.XSHE,广电运通,2016-08-23,0.142
601788.XSHG,光大证券,2016-08-23,0.228
601398.XSHG,工商银行,2016-08-23,1.205
601021.XSHG,春秋航空,2016-08-23,0.136
600153.XSHG,建发股份,2016-08-23,0.221
600150.XSHG,中国船舶,2016-08-23,0.186
600098.XSHG,广州发展,2016-08-23,0.072
600718.XSHG,东软集团,2016-08-23,0.201
600157.XSHG,永泰能源,2016-08-23,0.17
300315.XSHE,掌趣科技,2016-08-23,0.232
000027.XSHE,深圳能源,2016-08-23,0.09
600867.XSHG,通化东宝,2016-08-23,0.244
601901.XSHG,方正证券,2016-08-23,0.341
600863.XSHG,内蒙华电,2016-08-23,0.103
600100.XSHG,同方股份,2016-08-23,0.337
600398.XSHG,海澜之家,2016-08-23,0.185
600795.XSHG,国电电力,2016-08-23,0.407
600011.XSHG,华能国际,2016-08-23,0.354
600010.XSHG,包钢股份,2016-08-23,0.318
600016.XSHG,民生银行,2016-08-23,2.501
600015.XSHG,华夏银行,2016-08-23,0.612
601318.XSHG,中国平安,2016-08-23,4.05
600019.XSHG,宝钢股份,2016-08-23,0.28
600018.XSHG,上港集团,2016-08-23,0.2
601258.XSHG,庞大集团,2016-08-23,0.141
601991.XSHG,大唐发电,2016-08-23,0.14
600074.XSHG,*ST保千,2016-08-23,0.163
601992.XSHG,金隅集团,2016-08-23,0.116
000725.XSHE,京东方A,2016-08-23,0.64
600372.XSHG,中航电子,2016-08-23,0.122
600373.XSHG,中文传媒,2016-08-23,0.141
000538.XSHE,云南白药,2016-08-23,0.416
000728.XSHE,国元证券,2016-08-23,0.246
600376.XSHG,首开股份,2016-08-23,0.135
000686.XSHE,东北证券,2016-08-23,0.196
000338.XSHE,潍柴动力,2016-08-23,0.245
002027.XSHE,分众传媒,2016-08-23,0.11
002024.XSHE,苏宁易购,2016-08-23,0.454
601211.XSHG,国泰君安,2016-08-23,0.312
600547.XSHG,山东黄金,2016-08-23,0.376
601958.XSHG,金钼股份,2016-08-23,0.087
600873.XSHG,梅花生物,2016-08-23,0.137
601336.XSHG,新华保险,2016-08-23,0.383
601919.XSHG,中远海控,2016-08-23,0.228
002594.XSHE,比亚迪,2016-08-23,0.373
600383.XSHG,金地集团,2016-08-23,0.252
600900.XSHG,长江电力,2016-08-23,1.009
000039.XSHE,中集集团,2016-08-23,0.117
601857.XSHG,中国石油,2016-08-23,0.405
600703.XSHG,三安光电,2016-08-23,0.289
002456.XSHE,欧菲光,2016-08-23,0.261
600999.XSHG,招商证券,2016-08-23,0.564
002292.XSHE,奥飞娱乐,2016-08-23,0.173
600871.XSHG,石化油服,2016-08-23,0.08
000783.XSHE,长江证券,2016-08-23,0.396
600705.XSHG,中航资本,2016-08-23,0.302
600704.XSHG,物产中大,2016-08-23,0.122
600570.XSHG,恒生电子,2016-08-23,0.321
002153.XSHE,石基信息,2016-08-23,0.09
002415.XSHE,海康威视,2016-08-23,0.547
002195.XSHE,二三四五,2016-08-23,0.104
600578.XSHG,京能电力,2016-08-23,0.073
000333.XSHE,美的集团,2016-08-23,1.042
600663.XSHG,陆家嘴,2016-08-23,0.19
300003.XSHE,乐普医疗,2016-08-23,0.186
601099.XSHG,太平洋,2016-08-23,0.32
000839.XSHE,中信国安,2016-08-23,0.302
300015.XSHE,爱尔眼科,2016-08-23,0.166
000625.XSHE,长安汽车,2016-08-23,0.426
002475.XSHE,立讯精密,2016-08-23,0.202
600688.XSHG,上海石化,2016-08-23,0.151
002252.XSHE,上海莱士,2016-08-23,0.24
600352.XSHG,浙江龙盛,2016-08-23,0.251
600048.XSHG,保利地产,2016-08-23,0.739
600362.XSHG,江西铜业,2016-08-23,0.139
600208.XSHG,新湖中宝,2016-08-23,0.166
000917.XSHE,电广传媒,2016-08-23,0.229
000750.XSHE,国海证券,2016-08-23,0.167
000999.XSHE,华润三九,2016-08-23,0.121
600685.XSHG,中船防务,2016-08-23,0.081
600369.XSHG,西南证券,2016-08-23,0.236
002500.XSHE,山西证券,2016-08-23,0.185
002470.XSHE,金正大,2016-08-23,0.156
600446.XSHG,金证股份,2016-08-23,0.177
600674.XSHG,川投能源,2016-08-23,0.232
603993.XSHG,洛阳钼业,2016-08-23,0.182
300146.XSHE,汤臣倍健,2016-08-23,0.111
002422.XSHE,科伦药业,2016-08-23,0.155
600177.XSHG,雅戈尔,2016-08-23,0.269
000046.XSHE,泛海控股,2016-08-23,0.179
601006.XSHG,大秦铁路,2016-08-23,0.422
002424.XSHE,贵州百灵,2016-08-23,0.094
601169.XSHG,北京银行,2016-08-23,1.18
600271.XSHG,航天信息,2016-08-23,0.298
601098.XSHG,中南传媒,2016-08-23,0.157
600276.XSHG,恒瑞医药,2016-08-23,0.711
300070.XSHE,碧水源,2016-08-23,0.321
601088.XSHG,中国神华,2016-08-23,0.335
601166.XSHG,兴业银行,2016-08-23,2.381
600196.XSHG,复星医药,2016-08-23,0.286
