,term,term_d,rate
2012-03-26,0d,0.0,1.9834
2012-03-26,1m,0.08,2.5047
2012-03-26,2m,0.17,2.823
2012-03-26,3m,0.25,2.8299
2012-03-26,6m,0.5,2.8284
2012-03-26,9m,0.75,2.8512
2012-03-26,1y,1.0,2.8436
2012-03-26,2y,2.0,2.9458
2012-03-26,3y,3.0,2.9708
2012-03-26,4y,4.0,3.1039999999999996
2012-03-26,5y,5.0,3.1676
2012-03-26,6y,6.0,3.3694
2012-03-26,7y,7.0,3.4261
2012-03-26,8y,8.0,3.5189
2012-03-26,9y,9.0,3.5222
2012-03-26,10y,10.0,3.5247
2012-03-26,15y,15.0,3.7711
2012-03-26,20y,20.0,4.0452
2012-03-26,30y,30.0,4.1444
2012-03-26,40y,40.0,4.2155
2012-03-26,50y,50.0,4.3136
