,bonus_ratio
2011-01-04,0.0
2011-01-05,0.0
2011-01-06,0.0
2011-01-07,0.0
2011-01-10,0.0
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,0.0
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,0.0
2011-01-21,0.0
2011-01-24,0.0
2011-01-25,0.0
2011-01-26,0.0
2011-01-27,0.0
2011-01-28,0.0
2011-01-31,0.0
2011-02-01,0.0
2011-02-09,0.0
2011-02-10,0.0
2011-02-11,0.0
2011-02-14,0.0
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,2.694235620990115e-05
2011-02-21,0.0
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,0.0
2011-02-28,0.0
2011-03-01,0.0
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,0.0
2011-03-07,0.0
2011-03-08,0.0
2011-03-09,0.0
2011-03-10,0.0
2011-03-11,0.0
2011-03-14,0.0
2011-03-15,0.0
2011-03-16,8.675649100290857e-06
2011-03-17,0.0
2011-03-18,0.0
2011-03-21,0.0
2011-03-22,0.0
2011-03-23,0.0
2011-03-24,0.0
2011-03-25,0.0
2011-03-28,0.0
2011-03-29,0.0
2011-03-30,0.0
2011-03-31,5.558894685710068e-06
2011-04-01,0.0
2011-04-06,7.593892597768157e-06
2011-04-07,0.0
2011-04-08,0.00013593752116392014
2011-04-11,3.0647985989492127e-06
2011-04-12,0.0
2011-04-13,0.0
2011-04-14,1.5734988411490257e-05
2011-04-15,0.0
2011-04-18,2.170139038167718e-06
2011-04-19,0.0
2011-04-20,2.3226748781073316e-05
2011-04-21,1.7341035970870216e-05
2011-04-22,3.0275216180513748e-05
2011-04-25,0.00010703363973435303
2011-04-26,0.0
2011-04-27,0.0
2011-04-28,6.658962186568642e-05
2011-04-29,0.00010314485023872694
2011-05-03,7.121542029721645e-06
2011-05-04,2.0618561356669456e-05
2011-05-05,8.474576271186439e-06
2011-05-06,4.701687784800284e-05
2011-05-09,0.0
2011-05-10,0.0
2011-05-11,9.587301126002458e-05
2011-05-12,0.00036850834313088945
2011-05-13,0.00012892473589599178
2011-05-16,1.3054396553010888e-05
2011-05-17,0.0
2011-05-18,0.0001502795487936253
2011-05-19,9.568881604402502e-05
2011-05-20,0.00016297605496141889
2011-05-23,3.8791925707583594e-05
2011-05-24,5.58784676354029e-05
2011-05-25,3.937007874015748e-06
2011-05-26,5.286992889359552e-05
2011-05-27,0.00031919248891780125
2011-05-30,4.451817232178932e-05
2011-05-31,0.00018772973746012775
2011-06-01,6.729544157446979e-05
2011-06-02,0.0
2011-06-03,0.00020770459599090083
2011-06-07,2.5913621262458474e-05
2011-06-08,1.2633624021695173e-05
2011-06-09,0.00016883137918846728
2011-06-10,0.0003902554810161615
2011-06-13,0.00030778573142210326
2011-06-14,0.00042512908414200917
2011-06-15,0.0004094122050895504
2011-06-16,0.0008010834633815476
2011-06-17,0.0007312706812792984
2011-06-20,0.0002580102461413338
2011-06-21,0.00014580793261182045
2011-06-22,0.0009349522148808072
2011-06-23,1.9624447914398324e-05
2011-06-24,9.909266789712188e-05
2011-06-27,0.00020239429676718396
2011-06-28,5.745711168099786e-05
2011-06-29,0.0007710384560297602
2011-06-30,0.0006105089591661966
2011-07-01,1.933924479495543e-05
2011-07-04,1.554764094593532e-05
2011-07-05,0.0006903538064022322
2011-07-06,0.00017854514451755467
2011-07-07,0.0002910321067780028
2011-07-08,0.0008373671193256957
2011-07-11,5.6243008540985895e-05
2011-07-12,2.756910628971916e-05
2011-07-13,4.649129036050417e-05
2011-07-14,0.0
2011-07-15,0.0006757603475813544
2011-07-18,6.14288662422565e-05
2011-07-19,0.0
2011-07-20,0.00013285040106470912
2011-07-21,5.865653278146242e-05
2011-07-22,9.135935379061824e-05
2011-07-25,6.210650086724696e-05
2011-07-26,0.0
2011-07-27,9.13576326557553e-06
2011-07-28,4.250341009507176e-05
2011-07-29,0.00030627773510299766
2011-08-01,0.0
2011-08-02,1.1231686519511225e-05
2011-08-03,2.966769525973243e-05
2011-08-04,0.0
2011-08-05,9.309882173293769e-05
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-11,0.0
2011-08-12,7.112895752011337e-05
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,0.0001050593086602215
2011-08-19,2.2253133550804017e-05
2011-08-22,0.0
2011-08-23,0.00011282242582040815
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,0.0
2011-08-29,3.7044229781343604e-05
2011-08-30,1.8863339797272207e-05
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-05,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.00011314093175333034
2011-09-26,3.462940639060325e-05
2011-09-27,0.0
2011-09-28,8.526011591507597e-05
2011-09-29,0.0
2011-09-30,0.0
2011-10-10,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-17,0.0
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.00013117741645208252
2011-10-24,1.3251998317206565e-05
2011-10-25,0.0
2011-10-26,0.0
2011-10-27,0.0
2011-10-28,0.0
2011-10-31,6.053268765133173e-06
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-11,0.0
2011-11-14,0.0
2011-11-15,0.0
2011-11-16,0.0
2011-11-17,3.0484986356129455e-05
2011-11-18,0.0
2011-11-21,0.0
2011-11-22,0.0
2011-11-23,0.0
2011-11-24,0.0
2011-11-25,0.0
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,0.0
2011-12-02,0.0
2011-12-05,0.0
2011-12-06,0.0
2011-12-07,5.1222361035229767e-05
2011-12-08,0.0
2011-12-09,0.0
2011-12-12,0.0
2011-12-13,0.0
2011-12-14,0.0
2011-12-15,0.0
2011-12-16,0.0
2011-12-19,0.0
2011-12-20,0.0
2011-12-21,0.0
2011-12-22,0.0
2011-12-23,0.0
2011-12-26,3.813953601460764e-05
2011-12-27,0.0
2011-12-28,0.0
2011-12-29,0.0
2011-12-30,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-13,0.0
2012-02-14,0.0
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,0.0
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,0.0
2012-03-01,0.0
2012-03-02,0.0
2012-03-05,0.0
2012-03-06,0.0
2012-03-07,0.0
2012-03-08,0.0
2012-03-09,0.0
2012-03-12,0.0
2012-03-13,0.0
2012-03-14,0.0
2012-03-15,0.0
2012-03-16,8.299595141700405e-06
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,0.0
2012-03-22,0.0
2012-03-23,0.0
2012-03-26,0.0
2012-03-27,0.0
2012-03-28,0.0
2012-03-29,3.658537159302681e-05
2012-03-30,0.0
2012-04-05,0.0
