,index_price,main_contract,end_date,long_rate,0d_rate,1m_rate,settle_price,remaining_days,future,future_new,,error1,
2018/6/15,3753.43,IF1806,2018/6/15,0.15,2.3005,2.9935,3752.56,0,3753.43,3746.703952,-6.726047985,0.87,5.856047985
2018/6/7,3831.01,IF1806,2018/6/15,0.15,2.4373,3.0872,3819.4,8,3832.749556,3827.447204,-5.302351312,13.34955563,8.04720432
2018/7/12,3481.06,IF1807,2018/7/20,0.15,1.7834,2.0917,3479,8,3482.216582,3477.04881,-5.167771294,3.216581708,1.951189586
2018/7/17,3449.38,IF1807,2018/7/20,0.15,2.1212,2.2123,3430.4,3,3449.891175,3445.513755,-4.377420358,19.49117544,15.11375508
2018/7/16,3472.09,IF1807,2018/7/20,0.15,2.0617,2.2223,3457.4,4,3472.756811,3468.703921,-4.052889149,15.3568106,11.30392145
2018/7/13,3492.69,IF1807,2018/7/20,0.15,1.8647,2.2203,3480.2,7,3493.751679,3489.982826,-3.768852325,13.55167872,9.782826396
2018/6/29,3510.98,IF1807,2018/7/20,0.15,2.3285,3.0317,3479.8,21,3514.978066,3511.980967,-2.997098605,35.17806595,32.18096735
2018/6/8,3779.62,IF1806,2018/6/15,0.15,2.2715,3.0872,3755,7,3781.019539,3778.306396,-2.713142647,26.01953892,23.30639627
2018/5/25,3816.5,IF1806,2018/6/15,0.15,2.4962,2.6433,3792,21,3821.158971,3818.51338,-2.645591005,29.15897094,26.51337993
2018/5/4,3774.6,IF1805,2018/5/18,0.15,2.5152,2.8625,3766.4,14,3777.695263,3775.111213,-2.584050097,11.295263,8.711212907
2018/6/22,3608.9,IF1807,2018/7/20,0.15,2.2865,3.1435,3564.6,28,3614.280593,3611.865458,-2.415135393,49.68059305,47.26545766
2018/9/6,3262.88,IF1809,2018/9/21,0.15,2.0141,2.0217,3256,15,3265.175617,3262.956997,-2.218619999,9.175617103,6.956997104
2018/7/10,3467.52,IF1807,2018/7/20,0.15,1.9038,2.2354,3432.2,10,3469.057327,3467.224159,-1.833168188,36.85732737,35.02415918
2018/7/6,3365.12,IF1807,2018/7/20,0.15,1.8451,2.2257,3339.4,14,3367.144299,3365.412559,-1.731739657,27.74429854,26.01255888
2018/6/5,3845.32,IF1806,2018/6/15,0.15,2.6212,2.9871,3822.2,10,3847.667247,3845.967227,-1.700019831,25.46724654,23.76722671
2018/8/8,3314.51,IF1808,2018/8/17,0.15,1.4909,1.785,3297.4,9,3315.545706,3313.913593,-1.632112336,18.14570583,16.51359349
