,index_price,main_contract,end_date,long_rate,0d_rate,1m_rate,settle_price,close_price,remaining_days,future
2018-01-02,4087.4,IF1801,2018-01-19,0.15,2.3548,3.5118,4095.6,4104.0,17,4091.210448974356
2018-01-03,4111.39,IF1801,2018-01-19,0.15,2.2613,3.4274,4126.8,4121.6,16,4114.854119792198
2018-01-04,4128.81,IF1801,2018-01-19,0.15,2.2028,3.2802,4129.6,4135.8,15,4131.987000521014
2018-01-05,4138.75,IF1801,2018-01-19,0.15,2.1818,2.9845,4146.0,4148.2,14,4141.694002863698
2018-01-08,4160.16,IF1801,2018-01-19,0.15,2.2179,3.0308,4158.2,4163.8,11,4162.523582366532
2018-01-09,4189.3,IF1801,2018-01-19,0.15,2.2859,2.9731,4189.6,4197.4,10,4191.530102120411
2018-01-10,4207.81,IF1801,2018-01-19,0.15,2.3999,3.0633,4204.0,4212.2,9,4209.926497880147
2018-01-11,4205.59,IF1801,2018-01-19,0.15,2.5889,3.0733,4210.0,4208.4,8,4207.6184217333375
2018-01-12,4225.0,IF1801,2018-01-19,0.15,2.5869,3.0995,4223.4,4229.0,7,4226.781683078767
2018-01-15,4225.24,IF1801,2018-01-19,0.15,2.5869,3.1456,4234.0,4223.4,4,4226.2581624496
2018-01-16,4258.47,IF1801,2018-01-19,0.15,2.8237,3.1337,4249.0,4269.2,3,4259.310077710533
2018-01-17,4248.12,IF1801,2018-01-19,0.15,3.1713,3.1466,4252.0,4250.6,2,4248.747465945896
2018-01-18,4271.42,IF1801,2018-01-19,0.15,3.2086,3.1466,4272.0,4280.0,1,4271.739164013156
2018-01-19,4285.4,IF1801,2018-01-19,0.15,3.2231,3.1648,4290.99,4290.8,0,4285.4
2018-01-22,4336.6,IF1802,2018-02-22,0.15,3.0024,3.0965,4344.4,4354.8,31,4345.9995199064115
2018-01-23,4382.61,IF1802,2018-02-22,0.15,2.8485,3.062,4387.2,4400.0,30,4391.331604025137
2018-01-24,4389.89,IF1802,2018-02-22,0.15,2.8205,2.8944,4404.6,4404.6,29,4398.25187750587
2018-01-25,4365.08,IF1802,2018-02-22,0.15,2.7869,2.792,4385.8,4373.0,28,4373.012273604318
2018-01-26,4381.3,IF1802,2018-02-22,0.15,2.7741,2.7947,4408.8,4397.8,27,4388.94213894174
2018-01-29,4302.02,IF1802,2018-02-22,0.15,2.7883,2.8272,4318.2,4315.2,24,4308.724234966203
2018-01-30,4256.1,IF1802,2018-02-22,0.15,2.7763,2.8282,4275.2,4267.6,23,4262.428956545384
2018-01-31,4275.9,IF1802,2018-02-22,0.15,2.8563,2.8983,4271.8,4280.0,22,4282.15720093915
2018-02-01,4245.9,IF1802,2018-02-22,0.15,2.6921,2.8266,4233.8,4239.4,21,4251.489929175657
2018-02-02,4271.23,IF1802,2018-02-22,0.15,2.6921,2.7508,4270.6,4270.4,20,4276.5855022139995
2018-02-05,4274.15,IF1802,2018-02-22,0.15,2.6921,2.75,4261.2,4264.0,17,4278.7052889495
2018-02-06,4148.89,IF1802,2018-02-22,0.15,2.6953,2.7273,4141.4,4119.8,16,4153.056631335649
2018-02-07,4050.5,IF1802,2018-02-22,0.15,2.6501,2.6902,4043.0,4023.0,15,4054.249628305137
2018-02-08,4012.05,IF1802,2018-02-22,0.15,2.6501,2.6869,3997.6,3996.8,14,4015.516432084644
2018-02-09,3840.65,IF1802,2018-02-22,0.15,2.6501,2.6682,3776.0,3781.2,13,3843.731317192966
2018-02-12,3890.1,IF1802,2018-02-22,0.15,2.6171,2.6832,3880.6,3865.6,10,3892.470866740685
2018-02-13,3935.63,IF1802,2018-02-22,0.15,2.6191,2.7155,3923.4,3920.6,9,3937.7904037062317
2018-02-14,3966.96,IF1802,2018-02-22,0.15,2.6191,2.6604,3959.0,3959.0,8,3968.8956460702684
2018-02-22,4052.73,IF1802,2018-02-22,0.15,2.6191,2.6854,4048.23,4047.6,0,4052.73
2018-02-23,4071.09,IF1803,2018-03-16,0.15,2.5575,2.6104,4041.8,4049.6,21,4076.1818042807877
2018-02-26,4118.42,IF1803,2018-03-16,0.15,2.5315,2.6477,4109.2,4108.2,18,4122.790258562164
