,0
0,4082.2197
1,4115.9463
2,4133.209
3,4144.4336
4,4160.454
5,4193.0938
6,4212.99
7,4210.562
8,4233.801
9,4237.283
10,4249.061
11,4238.9424
12,4262.0156
13,4287.836
14,4328.332
15,4388.157
16,4393.461
17,4370.2354
18,4399.284
19,4316.6543
20,4264.422
21,4274.089
22,4229.9775
23,4244.4204
24,4250.741
25,4111.578
26,4040.0708
27,3991.0322
28,3792.1157
29,3835.2886
30,3949.0137
31,3960.9834
32,4023.454
33,3993.4229
34,4043.3276
35,4000.1968
36,3987.917
37,4014.4824
38,3988.9702
39,4003.6113
40,4039.6243
41,4013.2983
42,4057.0908
43,4087.8708
44,4106.663
45,4081.581
46,4062.3477
47,4085.1277
48,4059.057
49,4062.4104
50,4063.612
51,4056.0916
52,4015.999
53,3858.3862
54,3842.563
55,3892.189
56,3845.097
57,3884.849
58,3898.6387
59,3901.3428
60,3858.185
61,3857.8955
62,3846.6
63,3918.1143
64,3932.353
65,3897.3652
66,3883.9302
67,3811.3555
68,3762.8706
69,3761.5762
70,3809.6958
71,3761.816
72,3752.3838
73,3834.0935
74,3819.3352
75,3749.595
76,3739.4043
77,3757.9087
78,3778.2234
79,3769.3677
80,3824.835
81,3873.5696
82,3862.0522
83,3883.5615
84,3869.2915
85,3903.4453
86,3908.193
87,3886.4502
88,3860.4106
89,3883.5134
90,3902.114
91,3882.2283
92,3836.6013
93,3812.142
94,3796.4585
95,3812.8755
96,3787.5767
97,3704.2268
98,3783.6135
99,3756.6748
100,3799.4294
101,3832.6616
102,3831.5015
103,3829.6084
104,3775.772
105,3777.9915
106,3819.7822
107,3789.9229
108,3780.806
109,3746.7
110,3590.7808
111,3607.3364
112,3578.3916
113,3584.5186
114,3543.9678
115,3500.377
116,3450.3232
117,3418.066
118,3493.2317
119,3406.7131
120,3384.8745
121,3359.7407
122,3350.1323
123,3360.0159
124,3436.7559
125,3448.1396
126,3388.877
127,3487.334
128,3477.46
129,3462.7744
130,3435.6104
131,3429.7583
132,3424.8022
133,3477.6763
134,3503.3984
135,3565.4287
136,3551.5928
137,3521.3618
138,3507.7336
139,3498.0566
140,3493.001
141,3440.9172
142,3361.4426
143,3320.1624
144,3278.2432
145,3347.8467
146,3335.233
147,3400.9634
148,3407.7627
149,3389.4707
150,3379.4634
151,3302.5637
152,3280.476
153,3234.645
154,3270.9458
155,3320.5083
156,3302.586
157,3312.417
158,3324.604
159,3395.4185
160,3392.8167
161,3377.8894
162,3357.2822
163,3333.7175
164,3315.2686
165,3350.5464
166,3307.0425
167,3269.835
168,3277.536
169,3231.6978
170,3223.8018
171,3199.739
172,3230.6921
173,3237.9473
174,3199.3357
175,3256.167
176,3313.5454
177,3311.3906
178,3406.2522
179,3369.8086
180,3413.451
181,3394.4722
182,3424.149
183,3301.1062
184,3293.6714
185,3274.4292
186,3129.958
187,3157.3237
188,3118.9517
189,3107.944
190,3106.485
191,3028.1694
192,3117.9995
193,3309.1465
194,3174.1206
195,3199.9458
196,3174.4858
197,3161.1216
198,3074.454
199,3117.018
200,3155.5215
201,3182.1
202,3296.7354
203,3257.71
204,3243.3906
205,3234.9146
206,3218.2043
207,3161.19
208,3204.9941
209,3232.2886
210,3203.8997
211,3228.2024
212,3258.6104
213,3292.0986
214,3233.141
215,3240.6277
216,3221.8828
217,3150.154
218,3151.4204
219,3146.898
220,3184.8652
221,3145.9133
222,3177.438
223,3283.1611
224,3280.5317
225,3275.238
226,3199.3535
227,3195.7715
228,3153.3875
229,3171.2705
230,3179.8901
231,3234.3037
232,3178.4133
233,3161.6562
234,3136.9358
235,3103.5386
236,3074.078
237,3039.0464
238,3044.7207
239,3021.1685
240,3014.9404
241,3003.364
242,3014.878
