,open,close,high,low,volume,money,main_contract,end_date,long_rate,settle_price,remaining_days,0d,1m,3m,6m,9m,1y
2011-01-04,3155.56,3189.68,3194.36,3143.6,8541044000.0,129159620771.0,IF1101,2011-01-21,0.15,3203.4,17,2.3582,2.7332,2.9634,3.0288,3.1433,3.2281
2011-01-05,3170.18,3175.66,3193.78,3158.87,7926881000.0,116943213907.0,IF1101,2011-01-21,0.15,3187.6,16,2.1074,2.4946,2.8693,2.925,2.9598,3.0283
2011-01-06,3177.84,3159.64,3198.05,3152.57,5968109200.0,91568447016.0,IF1101,2011-01-21,0.15,3174.4,15,1.6078,2.329,2.8426,2.8998,2.9361,2.994
2011-01-07,3156.36,3166.62,3209.9,3141.13,8409323300.0,113651250191.0,IF1101,2011-01-21,0.15,3164.8,14,1.5474,2.2992,2.8012,2.8402,2.9021,2.9524
2011-01-10,3162.09,3108.19,3182.78,3102.43,6549440600.0,87992881712.0,IF1101,2011-01-21,0.15,3131.8,11,1.527,2.2708,2.81,2.8655,2.903,2.9294
2011-01-11,3096.25,3124.92,3131.29,3084.51,5698591700.0,74832449402.0,IF1101,2011-01-21,0.15,3126.4,10,1.497,2.2579,2.8061,2.8522,2.89,2.9201
2011-01-12,3135.18,3142.34,3153.43,3099.41,5849851800.0,71551421416.0,IF1101,2011-01-21,0.15,3137.4,9,1.4795,2.2554,2.7735,2.7818,2.8196,2.8527
2011-01-13,3153.99,3141.28,3157.04,3127.16,5193698800.0,66925783701.0,IF1101,2011-01-21,0.15,3150.8,8,1.4327,2.2113,2.7251,2.7797,2.8175,2.8506
2011-01-14,3129.67,3091.86,3129.67,3083.51,5335143900.0,71012100141.0,IF1101,2011-01-21,0.15,3108.0,7,1.4387,2.1933,2.699,2.7893,2.8453,2.85
2011-01-17,3067.43,2974.35,3078.88,2968.61,6680756200.0,85454121099.0,IF1101,2011-01-21,0.15,2984.6,4,1.4428,2.2424,2.753,2.8207,2.861,2.8857
2011-01-18,2965.42,2977.65,2984.47,2947.6,4296456400.0,54652416480.0,IF1101,2011-01-21,0.15,2976.8,3,1.5141,2.2687,2.803,2.8544,2.8986,2.9357
2011-01-19,2978.46,3044.85,3045.61,2967.24,5657194200.0,72772226927.0,IF1101,2011-01-21,0.15,3038.0,2,2.1445,2.6852,2.9906,2.9125,2.9214,3.0017
2011-01-20,3037.86,2944.71,3037.86,2944.5,6104664300.0,76440116738.0,IF1101,2011-01-21,0.15,2951.6,1,2.7607,3.0608,3.1306,3.0321,3.0414,3.0457
2011-01-21,2935.23,2983.46,3030.26,2935.14,7310296600.0,85157790710.0,IF1101,2011-01-21,0.15,2986.03,0,2.7766,3.1899,3.2926,3.0749,3.0814,3.0866
