,index_price,settle_price,future_new,deep,持有定价模型,神经网络模型,abs_diff1,abs_diff2
2018/1/2,4087.4,4095.6,4091.210449,4082.2197,-4.389551,-13.3803,4.389551026,13.3803
2018/1/3,4111.39,4126.8,4114.85412,4115.9463,-11.94588,-10.8537,11.94588021,10.8537
2018/1/4,4128.81,4129.6,4131.987001,4133.209,2.387001,3.609,2.387000521,3.609
2018/1/5,4138.75,4146,4141.694003,4144.4336,-4.305997,-1.5664,4.305997136,1.5664
2018/1/8,4160.16,4158.2,4162.523582,4160.454,4.323582,2.254,4.323582367,2.254
2018/1/9,4189.3,4189.6,4191.530102,4193.0938,1.930102,3.4938,1.93010212,3.4938
2018/1/10,4207.81,4204,4209.926498,4212.99,5.926498,8.99,5.92649788,8.99
2018/1/11,4205.59,4210,4207.618422,4210.562,-2.381578,0.562,2.381578267,0.562
2018/1/12,4225,4223.4,4226.781683,4233.801,3.381683,10.401,3.381683079,10.401
2018/1/15,4225.24,4234,4226.258162,4237.283,-7.741838,3.283,7.74183755,3.283
2018/1/16,4258.47,4249,4259.310078,4249.061,10.310078,0.061,10.31007771,0.061
2018/1/17,4248.12,4252,4248.747466,4238.9424,-3.252534,-13.0576,3.252534054,13.0576
2018/1/18,4271.42,4272,4271.739164,4262.0156,-0.260836,-9.9844,0.260835987,9.9844
2018/1/19,4285.4,4290.99,4285.4,4287.836,-5.59,-3.154,5.59,3.154
2018/1/22,4336.6,4344.4,4345.99952,4328.332,1.59952,-16.068,1.599519906,16.068
2018/1/23,4382.61,4387.2,4391.331604,4388.157,4.131604,0.957,4.131604025,0.957
2018/1/24,4389.89,4404.6,4398.251878,4393.461,-6.348122,-11.139,6.348122494,11.139
2018/1/25,4365.08,4385.8,4373.012274,4370.2354,-12.787726,-15.5646,12.7877264,15.5646
2018/1/26,4381.3,4408.8,4388.209918,4399.284,-20.590082,-9.516,20.59008159,9.516
2018/1/29,4302.02,4318.2,4308.724235,4316.6543,-9.475765,-1.5457,9.475765034,1.5457
2018/1/30,4256.1,4275.2,4262.428957,4264.422,-12.771043,-10.778,12.77104345,10.778
2018/1/31,4275.9,4271.8,4282.157201,4274.089,10.357201,2.289,10.35720094,2.289
2018/2/1,4245.9,4233.8,4251.489929,4229.9775,17.689929,-3.8225,17.68992918,3.8225
2018/2/2,4271.23,4270.6,4276.585502,4244.4204,5.985502,-26.1796,5.985502214,26.1796
2018/2/5,4274.15,4261.2,4278.705289,4250.741,17.505289,-10.459,17.50528895,10.459
2018/2/6,4148.89,4141.4,4153.056631,4111.578,11.656631,-29.822,11.65663134,29.822
2018/2/7,4050.5,4043,4054.249628,4040.0708,11.249628,-2.9292,11.24962831,2.9292
2018/2/8,4012.05,3997.6,4015.494061,3991.0322,17.894061,-6.5678,17.89406115,6.5678
2018/2/9,3840.65,3776,3843.731317,3792.1157,67.731317,16.1157,67.73131719,16.1157
2018/2/12,3890.1,3880.6,3892.470867,3835.2886,11.870867,-45.3114,11.87086674,45.3114
2018/2/13,3935.63,3923.4,3937.790404,3949.0137,14.390404,25.6137,14.39040371,25.6137
2018/2/14,3966.96,3959,3968.895646,3960.9834,9.895646,1.9834,9.89564607,1.9834
2018/2/22,4052.73,4048.23,4052.73,4023.454,4.5,-24.776,4.5,24.776
2018/2/23,4071.09,4041.8,4076.181804,3993.4229,34.381804,-48.3771,34.38180428,48.3771
2018/2/26,4118.42,4109.2,4122.790259,4043.3276,13.590259,-65.8724,13.59025856,65.8724
2018/2/27,4058.98,4049,4063.031827,4000.1968,14.031827,-48.8032,14.03182674,48.8032
2018/2/28,4023.64,4021.2,4027.640667,3987.917,6.440667,-33.283,6.440666669,33.283
2018/3/1,4049.09,4029,4052.864348,4014.4824,23.864348,-14.5176,23.86434815,14.5176
2018/3/2,4016.46,4008.6,4020.061714,3988.9702,11.461714,-19.6298,11.46171374,19.6298
2018/3/5,4018.1,3994.4,4020.931073,4003.6113,26.531073,9.2113,26.53107345,9.2113
2018/3/6,4066.56,4049,4069.131598,4039.6243,20.131598,-9.3757,20.13159784,9.3757
