,display_name,name,start_date,end_date,type
IF1101.CCFX,沪深300指数期货,IF1101,2010-11-22,2011-01-21,futures
IF1102.CCFX,沪深300指数期货,IF1102,2010-12-20,2011-02-18,futures
IF1103.CCFX,沪深300指数期货,IF1103,2010-07-19,2011-03-18,futures
IF1104.CCFX,沪深300指数期货,IF1104,2011-02-21,2011-04-15,futures
IF1105.CCFX,沪深300指数期货,IF1105,2011-03-21,2011-05-20,futures
IF1106.CCFX,沪深300指数期货,IF1106,2010-10-18,2011-06-17,futures
IF1107.CCFX,沪深300指数期货,IF1107,2011-05-23,2011-07-15,futures
IF1108.CCFX,沪深300指数期货,IF1108,2011-06-20,2011-08-19,futures
IF1109.CCFX,沪深300指数期货,IF1109,2011-01-24,2011-09-16,futures
IF1110.CCFX,沪深300指数期货,IF1110,2011-08-22,2011-10-21,futures
IF1111.CCFX,沪深300指数期货,IF1111,2011-09-19,2011-11-18,futures
IF1112.CCFX,沪深300指数期货,IF1112,2011-04-18,2011-12-16,futures
IF1201.CCFX,沪深300指数期货,IF1201,2011-11-21,2012-01-20,futures
IF1202.CCFX,沪深300指数期货,IF1202,2011-12-19,2012-02-17,futures
IF1203.CCFX,沪深300指数期货,IF1203,2011-07-18,2012-03-16,futures
IF1204.CCFX,沪深300指数期货,IF1204,2012-02-20,2012-04-20,futures
IF1205.CCFX,沪深300指数期货,IF1205,2012-03-19,2012-05-18,futures
IF1206.CCFX,沪深300指数期货,IF1206,2011-10-24,2012-06-15,futures
IF1207.CCFX,沪深300指数期货,IF1207,2012-05-21,2012-07-20,futures
IF1208.CCFX,沪深300指数期货,IF1208,2012-06-18,2012-08-17,futures
IF1209.CCFX,沪深300指数期货,IF1209,2012-01-30,2012-09-21,futures
IF1210.CCFX,沪深300指数期货,IF1210,2012-08-20,2012-10-19,futures
IF1211.CCFX,沪深300指数期货,IF1211,2012-09-24,2012-11-16,futures
IF1212.CCFX,沪深300指数期货,IF1212,2012-04-23,2012-12-21,futures
IF1301.CCFX,沪深300指数期货,IF1301,2012-11-19,2013-01-18,futures
IF1302.CCFX,沪深300指数期货,IF1302,2012-12-24,2013-02-18,futures
IF1303.CCFX,沪深300指数期货,IF1303,2012-07-23,2013-03-15,futures
IF1304.CCFX,沪深300指数期货,IF1304,2013-02-19,2013-04-19,futures
IF1305.CCFX,沪深300指数期货,IF1305,2013-03-18,2013-05-17,futures
IF1306.CCFX,沪深300指数期货,IF1306,2012-10-22,2013-06-21,futures
IF1307.CCFX,沪深300指数期货,IF1307,2013-05-20,2013-07-19,futures
IF1308.CCFX,沪深300指数期货,IF1308,2013-06-24,2013-08-16,futures
IF1309.CCFX,沪深300指数期货,IF1309,2013-01-21,2013-09-23,futures
IF1310.CCFX,沪深300指数期货,IF1310,2013-08-19,2013-10-18,futures
IF1311.CCFX,沪深300指数期货,IF1311,2013-09-24,2013-11-15,futures
IF1312.CCFX,沪深300指数期货,IF1312,2013-04-22,2013-12-20,futures
IF1401.CCFX,沪深300指数期货,IF1401,2013-11-18,2014-01-17,futures
IF1402.CCFX,沪深300指数期货,IF1402,2013-12-23,2014-02-21,futures
IF1403.CCFX,沪深300指数期货,IF1403,2013-07-22,2014-03-21,futures
IF1404.CCFX,沪深300指数期货,IF1404,2014-02-24,2014-04-18,futures
IF1405.CCFX,沪深300指数期货,IF1405,2014-03-24,2014-05-16,futures
IF1406.CCFX,沪深300指数期货,IF1406,2013-10-21,2014-06-20,futures
IF1407.CCFX,沪深300指数期货,IF1407,2014-05-19,2014-07-18,futures
IF1408.CCFX,沪深300指数期货,IF1408,2014-06-23,2014-08-15,futures
IF1409.CCFX,沪深300指数期货,IF1409,2014-01-20,2014-09-19,futures
IF1410.CCFX,沪深300指数期货,IF1410,2014-08-18,2014-10-17,futures
IF1411.CCFX,沪深300指数期货,IF1411,2014-09-22,2014-11-21,futures
IF1412.CCFX,沪深300指数期货,IF1412,2014-04-21,2014-12-19,futures
IF1501.CCFX,沪深300指数期货,IF1501,2014-11-24,2015-01-16,futures
IF1502.CCFX,沪深300指数期货,IF1502,2014-12-22,2015-02-25,futures
IF1503.CCFX,沪深300指数期货,IF1503,2014-07-21,2015-03-20,futures
IF1504.CCFX,沪深300指数期货,IF1504,2015-02-26,2015-04-17,futures
IF1505.CCFX,沪深300指数期货,IF1505,2015-03-23,2015-05-15,futures
IF1506.CCFX,沪深300指数期货,IF1506,2014-10-20,2015-06-19,futures
IF1507.CCFX,沪深300指数期货,IF1507,2015-05-18,2015-07-17,futures
IF1508.CCFX,沪深300指数期货,IF1508,2015-06-23,2015-08-21,futures
IF1509.CCFX,沪深300指数期货,IF1509,2015-01-19,2015-09-18,futures
IF1510.CCFX,沪深300指数期货,IF1510,2015-08-24,2015-10-16,futures
IF1511.CCFX,沪深300指数期货,IF1511,2015-09-21,2015-11-20,futures
IF1512.CCFX,沪深300指数期货,IF1512,2015-04-20,2015-12-18,futures
IF1601.CCFX,沪深300指数期货,IF1601,2015-11-23,2016-01-15,futures
IF1602.CCFX,沪深300指数期货,IF1602,2015-12-21,2016-02-19,futures
IF1603.CCFX,沪深300指数期货,IF1603,2015-07-20,2016-03-18,futures
IF1604.CCFX,沪深300指数期货,IF1604,2016-02-22,2016-04-15,futures
IF1605.CCFX,沪深300指数期货,IF1605,2016-03-21,2016-05-20,futures
IF1606.CCFX,沪深300指数期货,IF1606,2015-10-19,2016-06-17,futures
IF1607.CCFX,沪深300指数期货,IF1607,2016-05-23,2016-07-15,futures
IF1608.CCFX,沪深300指数期货,IF1608,2016-06-20,2016-08-19,futures
IF1609.CCFX,沪深300指数期货,IF1609,2016-01-18,2016-09-19,futures
IF1610.CCFX,沪深300指数期货,IF1610,2016-08-22,2016-10-21,futures
IF1611.CCFX,沪深300指数期货,IF1611,2016-09-20,2016-11-18,futures
IF1612.CCFX,沪深300指数期货,IF1612,2016-04-18,2016-12-16,futures
IF1701.CCFX,沪深300指数期货,IF1701,2016-11-21,2017-01-20,futures
IF1702.CCFX,沪深300指数期货,IF1702,2016-12-19,2017-02-17,futures
IF1703.CCFX,沪深300指数期货,IF1703,2016-07-18,2017-03-17,futures
IF1704.CCFX,沪深300指数期货,IF1704,2017-02-20,2017-04-21,futures
IF1705.CCFX,沪深300指数期货,IF1705,2017-03-20,2017-05-19,futures
IF1706.CCFX,沪深300指数期货,IF1706,2016-10-24,2017-06-16,futures
IF1707.CCFX,沪深300指数期货,IF1707,2017-05-22,2017-07-21,futures
IF1708.CCFX,沪深300指数期货,IF1708,2017-06-19,2017-08-18,futures
IF1709.CCFX,沪深300指数期货,IF1709,2017-01-23,2017-09-15,futures
IF1710.CCFX,沪深300指数期货,IF1710,2017-08-21,2017-10-20,futures
IF1711.CCFX,沪深300指数期货,IF1711,2017-09-18,2017-11-17,futures
