,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,156569,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2010-06-30,中期分红,2010-08-31,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,156570,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2010-12-31,年度分红,2011-03-05,10派0.2元(含税),136013.2576,2011-04-29,10派0.2元(含税),136013.2576,2011-06-13,10派0.2元(含税),136013.2576,,,0.2,,,,,,,2720.2652,2011-06-20,,2011-06-21,,,2011-06-21,,,,,136013.2576,,,,,,,,,313002,实施方案,
2,156571,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2011-06-30,中期分红,2011-08-13,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,156572,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2011-12-31,年度分红,2012-03-08,10派0.2元(含税),136013.2576,2012-06-22,10派0.2元(含税),136013.2576,2012-08-10,10派0.2元(含税),136013.2576,,,0.2,,,,,,,2720.2652,2012-08-16,,2012-08-17,,,2012-08-17,,,,,136013.2576,,,,,,,,,313002,实施方案,
4,156573,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2012-06-30,中期分红,2012-07-24,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,156574,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2012-12-31,年度分红,2013-02-05,10派0.2元(含税),136013.2576,2013-03-12,10派0.2元(含税),136013.2576,2013-04-24,10派0.2元(含税),136013.2576,,,0.2,,,0.19,,,,2720.2652,2013-05-06,,2013-05-07,,,2013-05-07,,,,,136013.2576,,,,,,,,,313002,实施方案,
6,156575,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2013-06-30,中期分红,2013-07-23,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,156576,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2013-12-31,年度分红,2014-03-15,10派0.4元(含税),184626.2977,2014-04-26,10派0.4元(含税),184626.2977,2014-06-10,10派0.4元(含税),184626.2977,,,0.4,,,0.38,,,,7385.0519,2014-06-16,,2014-06-17,,,2014-06-17,,,,,184626.2977,,,,,,,,,313002,实施方案,
8,156577,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2014-06-30,中期分红,2014-07-29,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,156578,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2014-12-31,年度分红,2015-03-25,10派0.5元(含税),205122.8683,2015-04-29,10派0.5元(含税),205122.8683,2015-06-04,10派0.5元(含税),205122.8683,,,0.5,,,0.475,,,,10256.1434,2015-06-09,,2015-06-10,,,2015-06-10,,,,,205122.8683,,,,,,,,,313002,实施方案,
10,156579,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2015-06-30,中期分红,2015-07-24,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
11,156580,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2015-12-31,年度分红,2016-03-26,10派0.45元(含税),205122.8683,2016-04-27,10派0.45元(含税),205122.8683,2016-06-01,10派0.45元(含税),205122.8683,,,0.45,,,0.45,,,,9230.5291,2016-06-07,,2016-06-08,,,2016-06-08,,,,,205122.8683,,,,,,,,,313002,实施方案,
12,156581,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2016-06-30,中期分红,2016-07-27,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
13,156582,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2016-12-31,年度分红,2017-04-15,10派0.45元(含税),201736.5965,2017-06-24,10派0.45元(含税),201736.5965,2017-08-02,10派0.45元(含税),201736.5965,,,0.45,,,0.45,,,,9078.1468,2017-08-08,,2017-08-09,,,2017-08-09,,,,,201736.5965,,,,,,,,,313002,实施方案,
14,156583,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2017-06-30,中期分红,2017-08-19,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
15,44496,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2017-12-31,年度分红,2018-04-28,10派0.15元(含税),200129.474,2018-05-22,10派0.15元(含税),200129.474,2018-07-10,10派0.15元(含税),200129.474,,,0.15,,,0.15,,,,3001.9421,2018-07-16,,2018-07-17,,,2018-07-17,,,,,200129.474,,,,,,,,,313002,实施方案,
16,165158,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2018-06-30,中期分红,2018-08-11,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
