,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000562,149384,430000562,宏源证券股份有限公司,000562.XSHE,2010-12-31,年度分红,2011-03-29,10派2.63元(含税),146120.4166,2011-04-20,10派2.63元(含税),146120.4166,2011-05-11,10派2.63元(含税),146120.4166,2.63,38429.6696,2011-05-17,2011-05-18,2011-05-18,146120.4166,313002,实施方案
002044,163531,430002044,美年大健康产业控股股份有限公司,002044.XSHE,2010-12-31,年度分红,2011-03-29,10转增3.8股派0.5元(含税),16250.0,2011-04-30,10转增3.8股派0.5元(含税),16250.0,2011-05-11,10转增3.8股派0.5元(含税),16250.0,0.5,812.5,2011-05-17,2011-05-18,2011-05-18,16250.0,313002,实施方案
300070,9143,300011168,北京碧水源科技股份有限公司,300070.XSHE,2010-12-31,年度分红,2011-02-28,10转增12股派3元(含税),14700.0,2011-03-23,10转增12股派3元(含税),14700.0,2011-05-11,10转增12股派3元(含税),14700.0,3.0,4410.0,2011-05-17,2011-05-18,2011-05-18,14700.0,313002,实施方案
300104,10950,300013169,乐视网信息技术(北京)股份有限公司,300104.XSHE,2010-12-31,年度分红,2011-03-16,10送2转增10股派1.5元(含税),10000.0,2011-04-09,10送2转增10股派1.5元(含税),10000.0,2011-05-12,10送2转增10股派1.5元(含税),10000.0,1.5,1500.0,2011-05-17,2011-05-18,2011-05-18,10000.0,313002,实施方案
600100,25619,420600100,同方股份有限公司,600100.XSHG,2010-12-31,年度分红,2011-04-08,10转增10股派1元(含税),99385.0554,2011-04-29,10转增10股派1元(含税),99385.0554,2011-05-05,10转增10股派1元(含税),99385.0554,1.0,9938.5055,2011-05-10,2011-05-11,2011-05-18,99385.0554,313002,实施方案
600267,31289,420600267,浙江海正药业股份有限公司,600267.XSHG,2010-12-31,年度分红,2011-03-29,10派1.5元(含税),52481.8161,2011-04-25,10派1.5元(含税),52481.8161,2011-05-06,10派1.5元(含税),52481.8161,1.5,7872.2724,2011-05-11,2011-05-12,2011-05-18,52481.8161,313002,实施方案
600271,31427,420600271,航天信息股份有限公司,600271.XSHG,2010-12-31,年度分红,2011-03-24,10派4元(含税),92340.0,2011-04-27,10派4元(含税),92340.0,2011-05-06,10派4元(含税),92340.0,4.0,36936.0,2011-05-11,2011-05-12,2011-05-18,92340.0,313002,实施方案
600309,32628,420600309,万华化学集团股份有限公司,600309.XSHG,2010-12-31,年度分红,2011-03-22,10送3股派4元(含税),166333.44,2011-04-16,10送3股派4元(含税),166333.44,2011-05-06,10送3股派4元(含税),166333.44,4.0,66533.37599999999,2011-05-11,2011-05-12,2011-05-18,166333.44,313002,实施方案
600588,39811,420600588,用友网络科技股份有限公司,600588.XSHG,2010-12-31,年度分红,2011-03-31,10派2.2元(含税),81603.0819,2011-04-27,10派2.2元(含税),81603.0819,2011-05-06,10派2.2元(含税),81603.0819,2.2,17952.678,2011-05-11,2011-05-12,2011-05-18,81603.0819,313002,实施方案
600606,40468,420600606,绿地控股集团股份有限公司,600606.XSHG,2010-12-31,年度分红,2011-03-12,10送1.5股派0.5元(含税),42925.0591,2011-04-13,10送1.5股派0.5元(含税),42925.0591,2011-05-06,10送1.5股派0.5元(含税),42925.0591,0.5,2146.2529999999997,2011-05-11,2011-05-12,2011-05-18,42925.0591,313002,实施方案
