,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,bonus_ratio_rmb,at_bonus_ratio_rmb,a_registration_date,a_xr_date,a_bonus_date,plan_progress_code,plan_progress
000983,161887,430000983,山西西山煤电股份有限公司,000983.XSHE,2013-12-31,年度分红,2014-04-01,10派0.1元(含税),2014-05-08,10派0.1元(含税),2014-06-21,10派0.1元(含税),0.1,0.095,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
002074,668,300001001,国轩高科股份有限公司,002074.XSHE,2013-12-31,年度分红,2014-04-18,10派0.2元(含税),2014-05-17,10派0.2元(含税),2014-06-21,10派0.2元(含税),0.2,0.19,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
600005,22772,420600005,武汉钢铁股份有限公司,600005.XSHG,2013-12-31,年度分红,2014-04-29,10派0.2元(含税),2014-05-22,10派0.2元(含税),2014-06-20,10派0.2元(含税),0.2,0.19,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
600068,24348,420600068,中国葛洲坝集团股份有限公司,600068.XSHG,2013-12-31,年度分红,2014-04-01,10派1.04元(含税),2014-04-29,10派1.04元(含税),2014-06-20,10派1.04元(含税),1.04,0.988,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
600098,25543,420600098,广州发展集团股份有限公司,600098.XSHG,2013-12-31,年度分红,2014-04-24,10派1.5元(含税),2014-05-21,10派1.5元(含税),2014-06-23,10派1.5元(含税),1.5,1.5,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
600685,132557,420600685,中船海洋与防务装备股份有限公司,600685.XSHG,2013-12-31,年度分红,2014-03-18,10派0.1元(含税),2014-05-09,10派0.1元(含税),2014-06-20,10派0.1元(含税),0.1,0.095,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
601318,1958,300002221,中国平安保险(集团)股份有限公司,601318.XSHG,2013-12-31,年度分红,2014-03-14,10派4.5元(含税),2014-06-13,10派4.5元(含税),2014-06-20,10派4.5元(含税),4.5,4.275,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
601988,164321,450000028,中国银行股份有限公司,601988.XSHG,2013-12-31,年度分红,2014-03-27,10派1.96元(含税),2014-06-13,10派1.96元(含税),2014-06-20,10派1.96元(含税),1.96,1.8619999999999999,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
603000,18081,300022477,人民网股份有限公司,603000.XSHG,2013-12-31,年度分红,2014-04-19,10转增10股派5元(含税),2014-06-07,10转增10股派5元(含税),2014-06-23,10转增10股派5元(含税),5.0,4.75,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
603699,18578,300022929,苏州纽威阀门股份有限公司,603699.XSHG,2013-12-31,年度分红,2014-04-18,10派3.5元(含税),2014-05-13,10派3.5元(含税),2014-06-20,10派3.5元(含税),3.5,3.325,2014-06-26,2014-06-27,2014-06-27,313002,实施方案
