,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000750,155318,430000750,国海证券股份有限公司,000750.XSHE,2016-12-31,年度分红,2017-03-28,10派1元(含税),2017-04-18,10派1元(含税),2017-06-05,10派1元(含税),421554.1972,1.0,1.0,42155.4197,2017-06-08,2017-06-09,2017-06-09,421554.1972,313002,实施方案
000783,156224,430000783,长江证券股份有限公司,000783.XSHE,2016-12-31,年度分红,2017-03-22,10派1.5元(含税),2017-04-13,10派1.5元(含税),2017-06-02,10派1.5元(含税),552946.7678,1.5,1.5,82942.0152,2017-06-08,2017-06-09,2017-06-09,552946.7678,313002,实施方案
002001,162388,430002001,浙江新和成股份有限公司,002001.XSHE,2016-12-31,年度分红,2017-03-28,10派6元(含税),2017-04-21,10派6元(含税),2017-06-02,10派6元(含税),108891.9,6.0,6.0,65335.14,2017-06-08,2017-06-09,2017-06-09,108891.9,313002,实施方案
002353,8533,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2016-12-31,年度分红,2017-03-31,10派0.3元(含税),2017-04-25,10派0.3元(含税),2017-06-02,10派0.3元(含税),95785.3992,0.3,0.3,2873.562,2017-06-08,2017-06-09,2017-06-09,95785.3992,313002,实施方案
002429,10710,300012873,深圳市兆驰股份有限公司,002429.XSHE,2016-12-31,年度分红,2017-04-21,10转增15股派0.25元(含税),2017-05-13,10转增15股派0.25元(含税),2017-06-03,10转增15股派0.25元(含税),181077.6243,0.25,0.25,4526.9406,2017-06-08,2017-06-09,2017-06-09,181077.6243,313002,实施方案
002653,17289,300021961,海思科医药集团股份有限公司,002653.XSHE,2016-12-31,年度分红,2017-04-27,10派4.6元(含税),2017-05-27,10派4.6元(含税),2017-06-02,10派4.6元(含税),106961.162,4.6,4.6,49202.1345,2017-06-08,2017-06-09,2017-06-09,106961.162,313002,实施方案
002736,5182,300004734,国信证券股份有限公司,002736.XSHE,2016-12-31,年度分红,2017-04-18,10派2元(含税),2017-05-19,10派2元(含税),2017-06-03,10派2元(含税),820000.0,2.0,2.0,164000.0,2017-06-08,2017-06-09,2017-06-09,820000.0,313002,实施方案
600037,23535,420600037,北京歌华有线电视网络股份有限公司,600037.XSHG,2016-12-31,年度分红,2017-04-01,10派1.8元(含税),2017-04-22,10派1.8元(含税),2017-06-02,10派1.8元(含税),139177.7884,1.8,1.8,25052.0019,2017-06-08,2017-06-09,2017-06-09,139177.7884,313002,实施方案
600048,93,300000161,保利房地产(集团)股份有限公司,600048.XSHG,2016-12-31,年度分红,2017-04-18,10派3.15元(含税),2017-05-12,10派3.15元(含税),2017-06-05,10派3.15元(含税),1185844.1061,3.15,3.15,373540.8934,2017-06-08,2017-06-09,2017-06-09,1185844.1061,313002,实施方案
600352,33835,420600352,浙江龙盛集团股份有限公司,600352.XSHG,2016-12-31,年度分红,2017-04-18,10派2元(含税),2017-05-11,10派2元(含税),2017-06-05,10派2元(含税),325333.186,2.0,2.0,65066.6372,2017-06-08,2017-06-09,2017-06-09,325333.186,313002,实施方案
601369,9830,300012093,西安陕鼓动力股份有限公司,601369.XSHG,2016-12-31,年度分红,2017-04-28,10派1.5元(含税),2017-05-20,10派1.5元(含税),2017-06-01,10派1.5元(含税),163877.0233,1.5,1.5,24581.5535,2017-06-08,2017-06-09,2017-06-09,163877.0233,313002,实施方案
