,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000423,146546,430000423,东阿阿胶股份有限公司,000423.XSHE,2016-12-31,年度分红,2017-03-10,10派9元(含税),65402.1537,2017-05-24,10派9元(含税),65402.1537,2017-07-11,10派9元(含税),65402.1537,9.0,9.0,58861.9383,2017-07-17,2017-07-18,2017-07-18,65402.1537,313002,实施方案
000538,148406,430000538,云南白药集团股份有限公司,000538.XSHE,2016-12-31,年度分红,2017-04-22,10派8元(含税),104139.9718,2017-05-27,10派8元(含税),104139.9718,2017-07-12,10派8元(含税),104139.9718,8.0,8.0,83311.9774,2017-07-17,2017-07-18,2017-07-18,104139.9718,313002,实施方案
000685,153380,430000685,中山公用事业集团股份有限公司,000685.XSHE,2016-12-31,年度分红,2017-04-21,10派2元(含税),147511.1351,2017-05-19,10派2元(含税),147511.1351,2017-07-12,10派2元(含税),147511.1351,2.0,2.0,29502.227000000003,2017-07-17,2017-07-18,2017-07-18,147511.1351,313002,实施方案
000883,158944,430000883,湖北能源集团股份有限公司,000883.XSHE,2016-12-31,年度分红,2017-04-21,10派0.91元(含税),650744.9486,2017-05-20,10派0.91元(含税),650744.9486,2017-07-12,10派0.91元(含税),650744.9486,0.91,0.91,59217.7903,2017-07-17,2017-07-18,2017-07-18,650744.9486,313002,实施方案
002065,327,300000405,东华软件股份公司,002065.XSHE,2016-12-31,年度分红,2017-04-27,10送10股派1.5元（含税）,156989.378,2017-05-23,10送10股派1.5元（含税）,156989.378,2017-07-11,10送10股派1.5元（含税）,156989.378,1.5,1.5,23548.4067,2017-07-17,2017-07-18,2017-07-18,156989.378,313002,实施方案
002310,7170,300009031,北京东方园林环境股份有限公司,002310.XSHE,2016-12-31,年度分红,2017-04-18,10派0.3元(含税),267736.0406,2017-05-24,10派0.3元(含税),267736.0406,2017-07-11,10派0.299575元(含税),268115.528,0.2996,0.2996,8032.0709,2017-07-17,2017-07-18,2017-07-18,268115.528,313002,实施方案
600018,812,300001281,上海国际港务(集团)股份有限公司,600018.XSHG,2016-12-31,年度分红,2017-03-29,10派1.56元(含税),2317367.465,2017-05-20,10派1.56元(含税),2317367.465,2017-07-11,10派1.56元(含税),2317367.465,1.56,1.56,361509.3245,2017-07-17,2017-07-18,2017-07-18,2317367.465,313002,实施方案
600060,24045,420600060,青岛海信电器股份有限公司,600060.XSHG,2016-12-31,年度分红,2017-03-03,10派4.04元(含税),130848.1222,2017-06-30,10派4.04元(含税),130848.1222,2017-07-12,10派4.04元(含税),130848.1222,4.04,4.04,52862.6414,2017-07-17,2017-07-18,2017-07-18,130848.1222,313002,实施方案
600820,138042,420600820,上海隧道工程股份有限公司,600820.XSHG,2016-12-31,年度分红,2017-04-15,10派1.6元(含税),314409.6094,2017-06-13,10派1.6元(含税),314409.6094,2017-07-11,10派1.6元(含税),314409.6094,1.6,1.6,50305.5375,2017-07-17,2017-07-18,2017-07-18,314409.6094,313002,实施方案
601009,2712,300003284,南京银行股份有限公司,601009.XSHG,2016-12-31,年度分红,2017-04-21,10转增4股派2.6元(含税),605871.9946,2017-06-01,10转增4股派2.6元(含税),605871.9946,2017-07-12,10转增4股派2.6元(含税),605871.9946,2.6,2.6,157526.7186,2017-07-17,2017-07-18,2017-07-18,605871.9946,313002,实施方案
601618,6332,300008087,中国冶金科工股份有限公司,601618.XSHG,2016-12-31,年度分红,2017-03-29,10派0.6元(含税),2072361.917,2017-06-27,10派0.6元(含税),2072361.917,2017-07-10,10派0.6元(含税),2072361.917,0.6,0.6,124341.715,2017-07-17,2017-07-18,2017-07-18,2072361.917,313002,实施方案
603858,21492,300028961,山东步长制药股份有限公司,603858.XSHG,2016-12-31,年度分红,2017-03-28,10派16.14元(含税),68180.0,2017-05-27,10派16.14元(含税),68180.0,2017-07-12,10派16.14元(含税),68180.0,16.14,16.14,110042.52,2017-07-17,2017-07-18,2017-07-18,68180.0,313002,实施方案
