,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,33699,420600346,恒力石化股份有限公司,600346.XSHG,2010-06-30,中期分红,2010-08-28,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,33700,420600346,恒力石化股份有限公司,600346.XSHG,2010-12-31,年度分红,2011-04-27,10派0.15元(含税),21000.0,2011-05-21,10派0.15元(含税),21000.0,2011-06-28,10派0.15元(含税),21000.0,,,0.15,,,,,,,315.0,2011-07-04,,2011-07-05,,,2011-07-12,,,,,21000.0,,,,,,,,,313002,实施方案,
2,33701,420600346,恒力石化股份有限公司,600346.XSHG,2011-06-30,中期分红,2011-08-19,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,33702,420600346,恒力石化股份有限公司,600346.XSHG,2011-12-31,年度分红,2012-04-18,不分配不转增,,2012-05-19,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
4,33703,420600346,恒力石化股份有限公司,600346.XSHG,2012-06-30,中期分红,2012-08-25,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,33704,420600346,恒力石化股份有限公司,600346.XSHG,2012-12-31,年度分红,2013-03-30,不分配不转增,,2013-05-22,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
6,33705,420600346,恒力石化股份有限公司,600346.XSHG,2013-06-30,中期分红,2013-08-28,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,33706,420600346,恒力石化股份有限公司,600346.XSHG,2013-12-31,年度分红,2014-04-18,不分配不转增,,2014-05-21,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
8,33707,420600346,恒力石化股份有限公司,600346.XSHG,2014-06-30,中期分红,2014-08-22,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,33708,420600346,恒力石化股份有限公司,600346.XSHG,2014-12-31,年度分红,2015-04-16,10转增13股,29034.2105,2015-06-05,10转增13股,29034.2105,2015-07-09,10转增13股,29034.2105,,13.0,,,,,,,37744.4737,,2015-07-14,,2015-07-15,,,,,,2015-07-16,,29034.2105,66778.6842,29034.2105,66778.6842,,,,,,313002,实施方案,
10,33709,420600346,恒力石化股份有限公司,600346.XSHG,2015-06-30,中期分红,2015-07-22,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
11,33710,420600346,恒力石化股份有限公司,600346.XSHG,2015-12-31,年度分红,2016-04-28,不分配不转增,,2016-06-08,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
12,33711,420600346,恒力石化股份有限公司,600346.XSHG,2016-06-30,中期分红,2016-08-23,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
13,33712,420600346,恒力石化股份有限公司,600346.XSHG,2016-12-31,年度分红,2017-02-28,10派1.5元(含税),282568.6942,2017-04-21,10派1.5元(含税),282568.6942,2017-04-29,10派1.5元(含税),282568.6942,,,1.5,,,1.5,,,,42385.3041,2017-05-04,,2017-05-05,,,2017-05-05,,,,,282568.6942,,,,,,,,,313002,实施方案,
14,33713,420600346,恒力石化股份有限公司,600346.XSHG,2017-06-30,中期分红,2017-08-01,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
15,33714,420600346,恒力石化股份有限公司,600346.XSHG,2017-12-31,年度分红,2018-03-10,不分配不转增,,2018-03-31,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
16,164690,420600346,恒力石化股份有限公司,600346.XSHG,2018-06-30,中期分红,2018-07-28,10派2.5元(含税),505278.9925,2018-08-14,10派2.5元(含税),505278.9925,2018-09-20,10派2.5元(含税),505278.9925,,,2.5,,,2.5,,,,126319.7481,2018-09-27,,2018-09-28,,,2018-09-28,,,,,505278.9925,,,,,,,,,313002,实施方案,
