,open,close,high,low,volume,money
2011-01-04,45.41,45.15,46.18,44.2,1908074.0,85988400.0
2011-01-05,45.0,46.39,46.99,44.58,1642757.0,75697040.0
2011-01-06,46.98,45.43,46.98,44.8,1735242.0,79594584.0
2011-01-07,45.01,44.45,45.5,44.3,1258926.0,56346220.0
2011-01-10,44.3,45.22,46.2,44.3,861821.0,39074188.0
2011-01-11,45.5,43.08,45.8,42.96,1266936.0,55718152.0
2011-01-12,43.0,43.9,44.49,42.8,818770.0,35473596.0
2011-01-13,43.54,42.91,43.89,42.81,899309.0,38804848.0
2011-01-14,42.95,41.52,43.2,41.0,1129646.0,47349472.0
2011-01-17,41.52,40.68,41.8,40.03,1289459.0,52617828.0
2011-01-18,40.7,41.85,42.69,40.4,1105798.0,46549100.0
2011-01-19,41.86,42.44,43.0,41.86,972100.0,41292712.0
2011-01-20,42.44,40.32,42.69,40.32,1606880.0,65509544.0
2011-01-21,39.91,40.0,40.38,38.55,1352902.0,53754640.0
2011-01-24,39.3,38.76,39.3,38.0,2125766.0,82276904.0
2011-01-25,38.5,36.82,38.5,36.82,2331040.0,86765840.0
2011-01-26,36.8,34.98,36.8,34.98,1622243.0,57055208.0
2011-01-27,33.39,33.23,33.4,33.23,715200.0,23786534.0
2011-01-28,33.23,34.89,34.89,32.7,687552.0,23321964.0
2011-01-31,36.63,36.63,36.63,36.63,57580.0,2109156.0
2011-02-01,38.46,38.46,38.46,38.46,23330.0,897272.0
2011-02-09,40.38,40.38,40.38,40.38,69352.0,2800434.0
2011-02-10,42.4,41.59,42.4,40.5,4668117.0,195223488.0
2011-02-11,41.06,43.67,43.67,40.9,2184346.0,93393368.0
2011-02-14,43.8,44.01,45.49,43.66,2142603.0,95604280.0
2011-02-15,43.8,44.16,45.1,43.6,1182133.0,52505640.0
2011-02-16,44.16,46.29,46.3,44.16,2010161.0,91392792.0
2011-02-17,46.6,46.35,47.58,45.05,1939695.0,89476888.0
2011-02-18,46.46,44.03,46.5,44.03,3009038.0,134775072.0
2011-02-21,44.0,44.73,45.66,41.9,2334511.0,103131272.0
2011-02-22,44.61,42.67,44.69,42.49,2083050.0,89974456.0
2011-02-23,42.68,43.89,44.4,42.67,1424805.0,61922820.0
2011-02-24,43.89,43.18,44.0,42.8,704093.0,30562490.0
