,open,close,high,low,volume,money
2011-01-04,6.59,6.61,6.62,6.47,13535294.0,88531960.0
2011-01-05,6.58,6.68,6.81,6.54,17088104.0,114434744.0
2011-01-06,6.68,6.63,6.75,6.61,7257661.0,48268344.0
2011-01-07,6.6,6.66,6.81,6.57,10095747.0,67484208.0
2011-01-10,6.65,6.64,6.75,6.58,11375924.0,75791224.0
2011-01-11,6.6,6.68,6.72,6.56,9454488.0,62769124.0
2011-01-12,6.69,6.67,6.75,6.6,7953204.0,53048384.0
2011-01-13,6.71,6.64,6.72,6.63,6568602.0,43755568.0
2011-01-14,6.62,6.49,6.63,6.48,9121254.0,59536232.0
2011-01-17,6.44,6.32,6.55,6.31,10255626.0,65793208.0
2011-01-18,6.28,6.31,6.36,6.28,6917431.0,43683704.0
2011-01-19,6.31,6.45,6.47,6.3,8988864.0,57537496.0
2011-01-20,6.4,6.26,6.43,6.25,8247580.0,52186616.0
2011-01-21,6.25,6.55,6.6,6.25,15939431.0,103065288.0
2011-01-24,6.68,6.88,7.1,6.59,46184572.0,318081984.0
2011-01-25,6.84,6.8,6.95,6.73,14495791.0,98736576.0
2011-01-26,6.75,6.98,7.0,6.74,19797668.0,136282704.0
2011-01-27,6.92,7.16,7.29,6.84,38789696.0,277344288.0
2011-01-28,7.18,7.17,7.44,7.13,31846404.0,231366272.0
2011-01-31,7.08,7.29,7.34,7.05,33124704.0,239533424.0
2011-02-01,7.25,7.14,7.29,7.12,17384586.0,125009600.0
2011-02-09,7.1,7.18,7.22,7.01,22408420.0,159685808.0
2011-02-10,7.16,7.28,7.32,7.04,22564480.0,161956992.0
2011-02-11,7.26,7.34,7.5,7.22,30877416.0,228327376.0
2011-02-14,7.36,7.42,7.45,7.24,32508436.0,239025920.0
2011-02-15,7.49,7.56,7.75,7.43,61747904.0,468669120.0
2011-02-16,7.58,7.61,7.67,7.44,31819184.0,240619536.0
2011-02-17,7.57,7.48,7.63,7.45,30183636.0,226687568.0
2011-02-18,7.47,7.79,8.04,7.45,76083824.0,593390848.0
2011-02-21,7.77,8.14,8.26,7.72,65691144.0,530533504.0
2011-02-22,8.13,7.66,8.13,7.64,62739860.0,493821280.0
2011-02-23,7.7,7.89,7.98,7.64,38126468.0,297468096.0
2011-02-24,7.85,8.22,8.23,7.75,58969704.0,477354720.0
2011-02-25,8.22,8.09,8.25,8.0,31068030.0,251181664.0
2011-02-28,8.03,8.21,8.27,7.9,50039172.0,405308160.0
2011-03-01,8.16,8.03,8.23,7.96,37116968.0,299255584.0
2011-03-02,7.97,7.83,7.98,7.73,35586772.0,278683136.0
2011-03-03,7.78,7.92,8.14,7.7,47573228.0,373929440.0
2011-03-04,7.88,7.92,8.07,7.86,22946172.0,183263296.0
2011-03-07,7.94,7.95,8.12,7.8,38840488.0,309052352.0
2011-03-08,7.95,8.35,8.38,7.91,68706384.0,563649536.0
2011-03-09,8.34,8.26,8.43,8.23,38360080.0,319317632.0
2011-03-10,8.2,8.16,8.31,8.1,31140578.0,255202288.0
2011-03-11,8.13,8.17,8.36,8.08,38299744.0,315467072.0
2011-03-14,8.17,8.21,8.29,8.11,19650972.0,161055888.0
2011-03-15,8.2,8.06,8.2,7.83,36307856.0,289507424.0
2011-03-16,8.06,8.04,8.13,8.0,20015586.0,161250176.0
2011-03-17,7.95,7.78,8.03,7.74,21651012.0,170702592.0
2011-03-18,7.85,7.86,7.92,7.75,15647526.0,122500520.0
2011-03-21,7.9,7.76,8.01,7.74,15450111.0,121196728.0
2011-03-22,7.77,7.75,7.86,7.58,17403920.0,134477440.0
2011-03-23,7.82,8.04,8.1,7.79,28796466.0,230485344.0
2011-03-24,8.07,7.93,8.17,7.9,25008548.0,200742480.0
2011-03-25,7.95,8.01,8.1,7.9,18600752.0,149085968.0
2011-03-28,8.07,7.83,8.1,7.76,28900288.0,227562368.0
2011-03-29,7.8,7.7,7.8,7.6,25792540.0,198295760.0
2011-03-30,7.7,7.67,7.76,7.64,10719932.0,82460616.0
2011-03-31,7.64,7.54,7.67,7.46,18485904.0,139283360.0
2011-04-01,7.54,7.57,7.59,7.48,13954001.0,104938728.0
2011-04-06,7.54,7.57,7.64,7.48,13658921.0,103483120.0
2011-04-07,7.56,7.6,7.68,7.56,14023006.0,106945192.0
2011-04-08,7.6,7.76,7.78,7.55,15577015.0,119835008.0
2011-04-11,7.75,7.63,7.79,7.58,16592050.0,127354960.0
2011-04-12,7.65,7.58,7.67,7.52,26569460.0,201093424.0
2011-04-13,7.59,7.66,7.67,7.52,13569555.0,103144008.0
2011-04-14,7.67,7.65,7.68,7.59,12080071.0,92064088.0
2011-04-15,7.63,7.63,7.66,7.48,18488928.0,139871984.0
2011-04-18,7.59,7.51,7.64,7.43,23122544.0,173329680.0
2011-04-19,7.44,7.2,7.47,7.18,33628712.0,244281232.0
2011-04-20,7.25,7.2,7.26,7.16,17216568.0,123952952.0
2011-04-21,7.23,7.23,7.28,7.19,16418511.0,118616200.0
2011-04-22,7.23,7.14,7.23,7.1,14364338.0,102793424.0
2011-04-25,7.12,7.12,7.18,7.04,10673378.0,75830280.0
2011-04-26,7.12,7.08,7.17,7.04,11281281.0,80032080.0
2011-04-27,7.1,6.84,7.13,6.76,24088250.0,166423840.0
2011-04-28,6.85,6.7,6.89,6.68,11550853.0,78335936.0
2011-04-29,6.74,6.79,6.8,6.7,8923570.0,60320088.0
2011-05-03,6.8,6.91,6.94,6.8,10330760.0,71137080.0
