day,market_cap
2010-10-18,327.9958
2010-10-19,344.5841
2010-10-20,343.9557
2010-10-21,357.4023
2010-10-22,355.2659
2010-10-25,390.8302
2010-10-26,378.2633
2010-10-27,360.2927
2010-10-28,354.7632
2010-10-29,352.3755
2010-11-01,370.7232
2010-11-02,366.9531
2010-11-03,349.1081
2010-11-04,353.3809
2010-11-05,366.0734
2010-11-08,360.4183
2010-11-09,365.9478
2010-11-10,369.9692
2010-11-11,371.4772
2010-11-12,371.4772
2010-11-15,335.0332
2010-11-16,335.0332
2010-11-17,301.8566
2010-11-18,309.6481
2010-11-19,307.5117
2010-11-22,305.501
2010-11-23,289.9181
2010-11-24,295.4475
2010-11-25,302.7363
2010-11-26,296.4529
2010-11-29,290.7978
2010-11-30,299.5946
2010-12-01,296.5786
2010-12-02,300.4743
2010-12-03,302.862
2010-12-06,300.8513
2010-12-07,305.124
2010-12-08,302.7363
2010-12-09,299.0919
2010-12-10,301.2283
2010-12-13,329.1268
2010-12-14,326.3621
2010-12-15,319.8273
2010-12-16,313.0412
2010-12-17,317.4396
2010-12-20,309.5225
2010-12-21,316.6856
2010-12-22,316.0572
2010-12-23,312.0358
2010-12-24,310.5278
2010-12-27,303.7417
2010-12-28,297.8352
2010-12-29,299.7203
2010-12-30,314.1722
2010-12-31,345.5894
2011-01-04,359.5387
2011-01-05,353.7579
2011-01-06,355.0146
2011-01-07,336.9183
2011-01-10,332.6455
2011-01-11,344.3327
2011-01-12,338.0493
2011-01-13,335.5359
2011-01-14,310.4021
2011-01-17,310.7791
2011-01-18,312.4128
2011-01-19,326.3621
2011-01-20,306.7577
2011-01-21,306.3807
2011-01-24,299.0919
2011-01-25,300.3486
2011-01-26,301.6053
2011-01-27,317.9423
2011-01-28,332.1428
2011-01-31,336.2899
2011-02-01,338.0493
2011-02-09,320.2043
2011-02-10,335.2846
2011-02-11,332.2685
2011-02-14,351.1189
2011-02-15,351.1189
2011-02-16,355.2659
2011-02-17,348.7311
2011-02-18,342.4477
2011-02-21,347.9771
2011-02-22,330.8862
2011-02-23,333.9022
2011-02-24,336.0386
2011-02-25,342.8247
2011-02-28,345.5894
2011-03-01,345.5894
2011-03-02,337.7979
2011-03-03,329.8808
2011-03-04,337.1696
2011-03-07,349.4852
2011-03-08,345.5894
2011-03-09,346.2178
2011-03-10,334.0279
2011-03-11,329.2525
2011-03-14,324.1
2011-03-15,316.1829
2011-03-16,322.4663
2011-03-17,316.8112
2011-03-18,319.3246
2011-03-21,317.5653
2011-03-22,318.6963
2011-03-23,323.8487
2011-03-24,320.4556
2011-03-25,324.2257
2011-03-28,327.1161
2011-03-29,319.0733
2011-03-30,320.8327
2011-03-31,317.3139
2011-04-01,319.199
2011-04-06,323.9744
2011-04-07,326.2364
2011-04-08,334.7819
2011-04-11,330.5092
2011-04-12,335.6616
2011-04-13,329.5038
2011-04-14,331.2632
2011-04-15,331.1375
2011-04-18,326.6134
2011-04-19,315.3032
2011-04-20,319.4503
2011-04-21,320.9583
2011-04-22,318.9476
2011-04-25,312.2872
2011-04-26,307.2604
2011-04-27,304.1187
2011-04-28,298.8406
2011-04-29,298.8406
2011-05-03,302.485
2011-05-04,290.9235
2011-05-05,288.9128
2011-05-06,285.2684
2011-05-09,286.525
2011-05-10,291.8031
2011-05-11,288.0331
2011-05-12,277.9796
2011-05-13,284.5143
2011-05-16,277.8539
2011-05-17,284.0117
2011-05-18,286.14799999999997
2011-05-19,282.6293
2011-05-20,283.7603
2011-05-23,274.9635
2011-05-24,271.5704
2011-05-25,263.5276
2011-05-26,263.5276
2011-05-27,261.3913
2011-05-30,259.3806
2011-05-31,266.2924
2011-06-01,266.041
2011-06-02,260.1346
2011-06-03,265.1613
2011-06-07,267.6747
2011-06-08,268.1774
2011-06-09,260.7629
2011-06-10,262.0196
2011-06-13,261.7683
2011-06-14,268.9314
2011-06-15,264.533
2011-06-16,259.0036
2011-06-17,256.6159
2011-06-20,252.3431
2011-06-21,256.1132
2011-06-22,253.4741
2011-06-23,257.6212
2011-06-24,264.6587
2011-06-27,264.4073
2011-06-28,269.0571
2011-06-29,268.9314
2011-06-30,275.3405
2011-07-01,274.4608
2011-07-04,282.001
2011-07-05,280.3673
2011-07-06,288.7871
2011-07-07,286.6507
2011-07-08,285.6454
2011-07-11,281.247
2011-07-12,274.5865
2011-07-13,281.247
2011-07-14,320.95599999999996
2011-07-15,322.2307
2011-07-18,316.8484
2011-07-19,321.8058
2011-07-20,319.6812
2011-07-21,312.4576
2011-07-22,313.1658
2011-07-25,303.8175
2011-07-26,310.6163
2011-07-27,315.9986
2011-07-28,322.9389
2011-07-29,315.432
2011-08-01,319.6812
2011-08-02,310.8995
2011-08-03,308.7749
2011-08-04,308.7749
2011-08-05,297.1605
2011-08-08,277.7558
2011-08-09,274.923
2011-08-10,277.1892
2011-08-11,280.5886
2011-08-12,282.2883
2011-08-15,286.1126
2011-08-16,283.2798
2011-08-17,280.7302
2011-08-18,276.481
2011-08-19,271.8069
2011-08-22,270.5322
2011-08-23,275.2063
2011-08-24,273.365
2011-08-25,284.4129
2011-08-26,284.6962
2011-08-29,279.3138
2011-08-30,279.0306
2011-08-31,279.5971
2011-09-01,279.1722
2011-09-02,274.6397
2011-09-05,274.6397
2011-09-06,266.1413
2011-09-07,272.6568
2011-09-08,268.8325
2011-09-09,269.824
2011-09-13,265.8581
2011-09-14,268.2659
2011-09-15,268.1243
2011-09-16,269.3991
2011-09-19,264.5833
2011-09-20,264.5833
2011-09-21,272.7984
2011-09-22,260.759
2011-09-23,254.9518
2011-09-26,248.0114
2011-09-27,251.2691
2011-09-28,251.6941
2011-09-29,247.3032
2011-09-30,249.8527
2011-10-10,251.1275
2011-10-11,251.9773
2011-10-12,259.9092
2011-10-13,263.4502
2011-10-14,265.7164
2011-10-17,264.3
2011-10-18,252.5439
2011-10-19,249.2862
2011-10-20,243.3373
2011-10-21,242.0626
2011-10-24,257.0764
2011-10-25,271.9486
2011-10-26,267.5577
2011-10-27,266.8495
2011-10-28,272.3735
2011-10-31,269.2574
2011-11-01,269.3991
2011-11-02,272.3735
2011-11-03,273.9315
2011-11-04,280.1637
2011-11-07,273.6482
2011-11-08,271.8069
2011-11-09,274.2148
2011-11-10,266.4246
2011-11-11,267.6994
2011-11-14,274.6397
2011-11-15,272.6568
2011-11-16,266.7079
2011-11-17,266.1413
2011-11-18,257.3597
2011-11-21,259.7675
2011-11-22,260.1925
2011-11-23,256.3682
2011-11-24,258.4928
2011-11-25,256.5098
2011-11-28,259.20099999999996
2011-11-29,262.6003
2011-11-30,252.9688
2011-12-01,266.5663
2011-12-02,258.7761
2011-12-05,255.3767
2011-12-06,256.3682
2011-12-07,256.6515
2011-12-08,252.8272
2011-12-09,249.2862
2011-12-12,247.8698
2011-12-13,241.49599999999998
2011-12-14,241.49599999999998
2011-12-15,225.34900000000002
2011-12-16,230.7314
2011-12-19,228.7484
2011-12-20,232.43099999999998
2011-12-21,230.5897
2011-12-22,230.7314
2011-12-23,229.8815
2011-12-26,226.3405
2011-12-27,221.0999
2011-12-28,223.0828
2011-12-29,223.6494
2011-12-30,228.0402
2012-01-04,222.5163
2012-01-05,217.2756
2012-01-06,220.8166
2012-01-09,229.7399
2012-01-10,239.0881
2012-01-11,236.6802
2012-01-12,239.3714
2012-01-13,237.1052
2012-01-16,230.1648
2012-01-17,253.2521
2012-01-18,248.1531
2012-01-19,255.3767
2012-01-20,254.8101
2012-01-30,250.136
2012-01-31,249.9944
2012-02-01,244.0455
2012-02-02,251.8357
2012-02-03,251.2691
2012-02-06,250.7026
2012-02-07,246.4534
2012-02-08,264.8666
2012-02-09,258.3511
2012-02-10,257.5013
2012-02-13,257.0764
2012-02-14,255.2351
2012-02-15,258.9177
2012-02-16,257.0764
2012-02-17,256.5098
2012-02-20,255.66
2012-02-21,257.218
