day,market_cap
2010-10-18,17.5099
2010-10-19,19.2553
2010-10-20,19.8738
2010-10-21,19.2828
2010-10-22,19.5027
2010-10-25,19.9288
2010-10-26,20.025
2010-10-27,20.1624
2010-10-28,20.2174
2010-10-29,20.9321
2010-11-01,20.8222
2010-11-02,20.9733
2010-11-03,20.2174
2010-11-04,20.6297
2010-11-05,20.8222
2010-11-08,21.7018
2010-11-09,21.3857
2010-11-10,21.3032
2010-11-11,20.8084
2010-11-12,19.5715
2010-11-15,19.5715
2010-11-16,19.6814
2010-11-17,19.434
2010-11-18,19.2004
2010-11-19,20.0662
2010-11-22,20.4648
2010-11-23,20.5885
2010-11-24,21.1658
2010-11-25,20.9871
2010-11-26,20.7672
2010-11-29,20.9733
2010-11-30,19.6264
2010-12-01,19.6402
2010-12-02,21.0283
2010-12-03,20.5885
2010-12-06,20.2999
2010-12-07,20.4648
2010-12-08,20.7397
2010-12-09,21.3032
2010-12-10,21.5781
2010-12-13,22.4302
2010-12-14,22.444000000000003
2010-12-15,23.2274
2010-12-16,23.2411
2010-12-17,22.4302
2010-12-20,21.7155
2010-12-21,23.8871
2010-12-22,23.2686
2010-12-23,22.3065
2010-12-24,22.3065
2010-12-27,20.08
2010-12-28,19.379
2010-12-29,19.434
2010-12-30,19.2004
2010-12-31,19.2966
2011-01-04,19.6952
2011-01-05,20.0525
2011-01-06,19.2828
2011-01-07,19.0904
2011-01-10,18.307000000000002
2011-01-11,18.6506
2011-01-12,18.6644
2011-01-13,18.5956
2011-01-14,17.9222
2011-01-17,16.4653
2011-01-18,16.7539
2011-01-19,17.1113
2011-01-20,16.5065
2011-01-21,16.5615
2011-01-24,16.699
2011-01-25,16.5615
2011-01-26,16.8364
2011-01-27,17.0288
2011-01-28,18.3482
2011-01-31,17.9084
2011-02-01,17.6748
2011-02-09,17.5923
2011-02-10,18.0596
2011-02-11,17.9634
2011-02-14,18.4994
2011-02-15,18.5407
2011-02-16,18.5407
2011-02-17,18.8843
2011-02-18,18.7331
2011-02-21,19.0767
2011-02-22,18.3345
2011-02-23,18.6781
2011-02-24,18.788
2011-02-25,19.379
2011-02-28,19.4203
2011-03-01,19.4478
2011-03-02,19.0904
2011-03-03,18.7606
2011-03-04,19.1179
2011-03-07,19.3378
2011-03-08,19.5715
2011-03-09,19.6402
2011-03-10,19.434
2011-03-11,19.379
