,term,term_d,rate
2012/01/04,0d,0,2.3431
2012/01/04,1m,0.08,2.5759
2012/01/04,2m,0.17,2.7381
2012/01/04,3m,0.25,2.7476
2012/01/04,6m,0.5,2.659
2012/01/04,9m,0.75,2.6429
2012/01/04,1y,1,2.7278
2012/01/04,2y,2,2.8296
2012/01/04,3y,3,2.8657
2012/01/04,4y,4,2.99
2012/01/04,5y,5,3.0468
2012/01/04,6y,6,3.3137
2012/01/04,7y,7,3.3469
2012/01/04,8y,8,3.4258
2012/01/04,9y,9,3.437
2012/01/04,10y,10,3.4395
2012/01/04,15y,15,3.7039
2012/01/04,20y,20,3.9264
2012/01/04,30y,30,4.0842
2012/01/04,40y,40,4.1669
2012/01/04,50y,50,4.2612
2012/01/05,0d,0,2.8456
2012/01/05,1m,0.08,2.786
2012/01/05,2m,0.17,2.75
2012/01/05,3m,0.25,2.7581
2012/01/05,6m,0.5,2.6899
2012/01/05,9m,0.75,2.6529
2012/01/05,1y,1,2.7404
2012/01/05,2y,2,2.8322
2012/01/05,3y,3,2.8913
2012/01/05,4y,4,2.9919
2012/01/05,5y,5,3.0749
2012/01/05,6y,6,3.3019
2012/01/05,7y,7,3.3526
2012/01/05,8y,8,3.434
2012/01/05,9y,9,3.4318
2012/01/05,10y,10,3.4304
2012/01/05,15y,15,3.7046
2012/01/05,20y,20,3.9394
2012/01/05,30y,30,4.0692
2012/01/05,40y,40,4.1569
2012/01/05,50y,50,4.2512
2012/01/06,0d,0,2.8435
2012/01/06,1m,0.08,2.7769
2012/01/06,2m,0.17,2.737
2012/01/06,3m,0.25,2.7455
2012/01/06,6m,0.5,2.6345
2012/01/06,9m,0.75,2.65
2012/01/06,1y,1,2.7391
2012/01/06,2y,2,2.8287
2012/01/06,3y,3,2.8741
2012/01/06,4y,4,2.9707
2012/01/06,5y,5,3.023
2012/01/06,6y,6,3.2696
2012/01/06,7y,7,3.3068
2012/01/06,8y,8,3.3991
2012/01/06,9y,9,3.3977
2012/01/06,10y,10,3.397
2012/01/06,15y,15,3.6896
2012/01/06,20y,20,3.9374
2012/01/06,30y,30,4.0542
2012/01/06,40y,40,4.1469
2012/01/06,50y,50,4.2412
2012/01/09,0d,0,2.8456
2012/01/09,1m,0.08,2.7812
2012/01/09,2m,0.17,2.73
2012/01/09,3m,0.25,2.7138
2012/01/09,6m,0.5,2.6576
2012/01/09,9m,0.75,2.6285
2012/01/09,1y,1,2.7308
2012/01/09,2y,2,2.8405
2012/01/09,3y,3,2.8789
2012/01/09,4y,4,2.9708
2012/01/09,5y,5,3.0243
2012/01/09,6y,6,3.2707
2012/01/09,7y,7,3.3025
2012/01/09,8y,8,3.38
2012/01/09,9y,9,3.38
2012/01/09,10y,10,3.3806
2012/01/09,15y,15,3.6951
2012/01/09,20y,20,3.9574
2012/01/09,30y,30,4.0642
2012/01/09,40y,40,4.1519
2012/01/09,50y,50,4.2412
2012/01/10,0d,0,2.5389
2012/01/10,1m,0.08,2.6453
2012/01/10,2m,0.17,2.7095
2012/01/10,3m,0.25,2.7101
2012/01/10,6m,0.5,2.6515
2012/01/10,9m,0.75,2.6285
2012/01/10,1y,1,2.7283
2012/01/10,2y,2,2.8338
2012/01/10,3y,3,2.8802
2012/01/10,4y,4,2.9709
2012/01/10,5y,5,3.0286
2012/01/10,6y,6,3.2764
2012/01/10,7y,7,3.3062
2012/01/10,8y,8,3.3988
2012/01/10,9y,9,3.4021
2012/01/10,10y,10,3.403
2012/01/10,15y,15,3.6944
2012/01/10,20y,20,3.9374
2012/01/10,30y,30,4.0327
2012/01/10,40y,40,4.1361
2012/01/10,50y,50,4.2253
2012/01/11,0d,0,2.0856
2012/01/11,1m,0.08,2.494
2012/01/11,2m,0.17,2.7395
2012/01/11,3m,0.25,2.74
2012/01/11,6m,0.5,2.7453
2012/01/11,9m,0.75,2.7545
2012/01/11,1y,1,2.7884
2012/01/11,2y,2,2.8527
2012/01/11,3y,3,2.8775
2012/01/11,4y,4,2.9817
2012/01/11,5y,5,3.0297
2012/01/11,6y,6,3.2742
2012/01/11,7y,7,3.3245
2012/01/11,8y,8,3.4163
2012/01/11,9y,9,3.4198
2012/01/11,10y,10,3.4208
2012/01/11,15y,15,3.7072
2012/01/11,20y,20,3.9502
2012/01/11,30y,30,4.0448
2012/01/11,40y,40,4.1448
2012/01/11,50y,50,4.2341
2012/01/12,0d,0,2.3206
2012/01/12,1m,0.08,2.5821
2012/01/12,2m,0.17,2.7395
2012/01/12,3m,0.25,2.74
2012/01/12,6m,0.5,2.7457
2012/01/12,9m,0.75,2.7546
2012/01/12,1y,1,2.7841
2012/01/12,2y,2,2.8424
2012/01/12,3y,3,2.8761
2012/01/12,4y,4,2.971
2012/01/12,5y,5,3.0376
2012/01/12,6y,6,3.2794
2012/01/12,7y,7,3.2924
2012/01/12,8y,8,3.3987
2012/01/12,9y,9,3.3988
2012/01/12,10y,10,3.402
2012/01/12,15y,15,3.7021
2012/01/12,20y,20,3.9451
2012/01/12,30y,30,4.0397
2012/01/12,40y,40,4.1397
2012/01/12,50y,50,4.229
2012/01/13,0d,0,2.7077
2012/01/13,1m,0.08,2.7273
2012/01/13,2m,0.17,2.7395
2012/01/13,3m,0.25,2.74
2012/01/13,6m,0.5,2.7544
2012/01/13,9m,0.75,2.7634
2012/01/13,1y,1,2.7938
2012/01/13,2y,2,2.8518
2012/01/13,3y,3,2.8809
2012/01/13,4y,4,2.9924
2012/01/13,5y,5,3.0382
2012/01/13,6y,6,3.2834
2012/01/13,7y,7,3.3062
2012/01/13,8y,8,3.4007
2012/01/13,9y,9,3.409
2012/01/13,10y,10,3.4108
2012/01/13,15y,15,3.7071
2012/01/13,20y,20,3.9502
2012/01/13,30y,30,4.0465
2012/01/13,40y,40,4.1458
2012/01/13,50y,50,4.2351
2012/01/16,0d,0,3.0439
2012/01/16,1m,0.08,2.9043
2012/01/16,2m,0.17,2.7993
2012/01/16,3m,0.25,2.7972
2012/01/16,6m,0.5,2.7854
2012/01/16,9m,0.75,2.8019
2012/01/16,1y,1,2.8251
2012/01/16,2y,2,2.874
2012/01/16,3y,3,2.8985
2012/01/16,4y,4,3.0022
2012/01/16,5y,5,3.0582
2012/01/16,6y,6,3.2986
2012/01/16,7y,7,3.3212
2012/01/16,8y,8,3.4127
2012/01/16,9y,9,3.4213
2012/01/16,10y,10,3.4233
2012/01/16,15y,15,3.7146
2012/01/16,20y,20,3.9576
2012/01/16,30y,30,4.054
2012/01/16,40y,40,4.1532
2012/01/16,50y,50,4.2425
2012/01/17,0d,0,4.2381
2012/01/17,1m,0.08,3.4967
2012/01/17,2m,0.17,2.9135
2012/01/17,3m,0.25,2.8056
2012/01/17,6m,0.5,2.7953
2012/01/17,9m,0.75,2.8039
2012/01/17,1y,1,2.8208
2012/01/17,2y,2,2.8559
2012/01/17,3y,3,2.9069
2012/01/17,4y,4,3.0142
2012/01/17,5y,5,3.0556
2012/01/17,6y,6,3.2895
2012/01/17,7y,7,3.305
2012/01/17,8y,8,3.3994
2012/01/17,9y,9,3.4034
2012/01/17,10y,10,3.4045
2012/01/17,15y,15,3.7099
2012/01/17,20y,20,3.9529
2012/01/17,30y,30,4.0492
2012/01/17,40y,40,4.1485
2012/01/17,50y,50,4.2378
2012/01/18,0d,0,5.0381
2012/01/18,1m,0.08,3.8274
2012/01/18,2m,0.17,2.9351
2012/01/18,3m,0.25,2.8527
2012/01/18,6m,0.5,2.7978
2012/01/18,9m,0.75,2.8239
2012/01/18,1y,1,2.8614
2012/01/18,2y,2,2.8788
2012/01/18,3y,3,2.9143
2012/01/18,4y,4,3.0118
2012/01/18,5y,5,3.0659
2012/01/18,6y,6,3.2695
2012/01/18,7y,7,3.3045
2012/01/18,8y,8,3.3906
2012/01/18,9y,9,3.3946
2012/01/18,10y,10,3.3957
2012/01/18,15y,15,3.7055
2012/01/18,20y,20,3.9529
2012/01/18,30y,30,4.0642
2012/01/18,40y,40,4.1485
2012/01/18,50y,50,4.2378
2012/01/19,0d,0,3.5689
2012/01/19,1m,0.08,3.1756
2012/01/19,2m,0.17,2.8957
2012/01/19,3m,0.25,2.8824
2012/01/19,6m,0.5,2.7053
2012/01/19,9m,0.75,2.7941
2012/01/19,1y,1,2.8439
2012/01/19,2y,2,2.8786
2012/01/19,3y,3,2.9072
2012/01/19,4y,4,2.9954
2012/01/19,5y,5,3.0356
2012/01/19,6y,6,3.2482
2012/01/19,7y,7,3.2841
2012/01/19,8y,8,3.3741
2012/01/19,9y,9,3.375
2012/01/19,10y,10,3.3758
2012/01/19,15y,15,3.6955
2012/01/19,20y,20,3.9429
2012/01/19,30y,30,4.0542
2012/01/19,40y,40,4.1385
2012/01/19,50y,50,4.2278
2012/01/20,0d,0,2.1489
2012/01/20,1m,0.08,2.5713
2012/01/20,2m,0.17,2.8705
2012/01/20,3m,0.25,2.8977
2012/01/20,6m,0.5,2.7103
2012/01/20,9m,0.75,2.8037
2012/01/20,1y,1,2.8155
2012/01/20,2y,2,2.8634
2012/01/20,3y,3,2.8942
2012/01/20,4y,4,2.9799
2012/01/20,5y,5,3.0307
2012/01/20,6y,6,3.2381
2012/01/20,7y,7,3.2817
2012/01/20,8y,8,3.3791
2012/01/20,9y,9,3.38
2012/01/20,10y,10,3.3808
2012/01/20,15y,15,3.698
2012/01/20,20y,20,3.9454
2012/01/20,30y,30,4.0567
2012/01/20,40y,40,4.141
2012/01/20,50y,50,4.2303
2012/01/21,0d,0,2.1406
2012/01/21,1m,0.08,2.5651
2012/01/21,2m,0.17,2.8626
2012/01/21,3m,0.25,2.896
2012/01/21,6m,0.5,2.7053
2012/01/21,9m,0.75,2.7998
2012/01/21,1y,1,2.8169
2012/01/21,2y,2,2.8577
2012/01/21,3y,3,2.8952
2012/01/21,4y,4,2.9864
2012/01/21,5y,5,3.0367
2012/01/21,6y,6,3.2401
2012/01/21,7y,7,3.2787
2012/01/21,8y,8,3.369
2012/01/21,9y,9,3.3803
2012/01/21,10y,10,3.3811
2012/01/21,15y,15,3.698
2012/01/21,20y,20,3.9454
2012/01/21,30y,30,4.0567
2012/01/21,40y,40,4.141
2012/01/21,50y,50,4.2303
2012/01/29,0d,0,1.9706
2012/01/29,1m,0.08,2.5752
2012/01/29,2m,0.17,2.8791
2012/01/29,3m,0.25,2.8984
2012/01/29,6m,0.5,2.6823
2012/01/29,9m,0.75,2.7692
2012/01/29,1y,1,2.7757
2012/01/29,2y,2,2.8486
2012/01/29,3y,3,2.8817
2012/01/29,4y,4,2.9914
2012/01/29,5y,5,3.0333
2012/01/29,6y,6,3.2408
2012/01/29,7y,7,3.2814
2012/01/29,8y,8,3.3689
2012/01/29,9y,9,3.3787
2012/01/29,10y,10,3.3812
2012/01/29,15y,15,3.6978
