,open,close,high,low,volume,money
2011-01-04,55.45,54.6,55.6,53.51,1425914.0,77993328.0
2011-01-05,54.5,53.76,54.85,53.61,1261856.0,68064304.0
2011-01-06,53.8,53.15,54.2,52.77,1002350.0,53499652.0
2011-01-07,53.2,51.58,53.55,51.2,1759573.0,91940808.0
2011-01-10,51.4,50.0,51.45,49.76,1642406.0,82677792.0
2011-01-11,49.95,48.6,49.97,47.99,1568969.0,76257008.0
2011-01-12,49.05,50.09,50.11,48.4,1459965.0,71851120.0
2011-01-13,51.48,49.53,52.0,49.5,1684651.0,85324968.0
2011-01-14,49.15,47.67,49.15,47.24,1328795.0,63628024.0
2011-01-17,47.67,47.67,47.67,47.67,0.0,0.0
2011-01-18,45.15,46.41,46.94,44.95,1108885.0,50881932.0
2011-01-19,47.11,47.78,47.89,46.6,861742.0,40675104.0
2011-01-20,47.78,45.01,48.1,44.98,1368181.0,63100380.0
2011-01-21,44.53,44.82,45.85,44.5,1124543.0,50826704.0
2011-01-24,45.3,42.42,45.8,42.0,1381326.0,60004600.0
2011-01-25,42.42,41.01,42.8,40.62,1658957.0,68502184.0
2011-01-26,41.4,42.2,42.79,41.19,930975.0,39339032.0
2011-01-27,42.0,43.0,43.49,41.2,787476.0,33601644.0
2011-01-28,43.0,43.4,44.29,42.91,980496.0,42781264.0
2011-01-31,43.6,43.74,43.99,42.86,674238.0,29353298.0
2011-02-01,44.0,43.98,44.65,43.56,697657.0,30789810.0
2011-02-09,43.43,43.6,44.35,43.19,701107.0,30628998.0
2011-02-10,43.6,45.1,45.3,43.6,1186551.0,53058132.0
2011-02-11,45.2,45.23,45.62,44.8,899804.0,40774344.0
2011-02-14,45.6,46.09,46.36,45.25,901065.0,41436056.0
2011-02-15,46.09,45.1,46.99,45.0,1463187.0,67372400.0
2011-02-16,45.0,45.92,46.1,44.75,1342268.0,61038844.0
2011-02-17,46.02,47.25,47.25,46.01,1647504.0,76944880.0
2011-02-18,47.3,46.72,47.86,46.31,1175956.0,55378844.0
2011-02-21,46.15,48.29,48.55,46.0,1779916.0,84877456.0
2011-02-22,48.7,47.65,49.08,47.6,1996704.0,96414256.0
2011-02-23,47.49,48.56,48.56,47.0,1646783.0,79173760.0
2011-02-24,48.6,48.9,50.48,47.99,2029871.0,99996856.0
2011-02-25,49.92,49.39,50.28,48.51,1317244.0,64751772.0
2011-02-28,49.01,47.95,49.01,47.68,1783615.0,85627584.0
2011-03-01,48.4,47.3,48.6,46.68,1494799.0,71098816.0
2011-03-02,46.78,46.49,46.78,45.97,1738240.0,80460888.0
2011-03-03,46.47,46.07,47.2,46.03,1176481.0,54842024.0
2011-03-04,46.07,46.95,46.95,45.72,927061.0,42878848.0
2011-03-07,46.95,46.91,47.47,46.7,1270788.0,59814372.0
2011-03-08,47.07,46.71,47.25,46.53,941119.0,44019904.0
2011-03-09,47.0,47.39,47.4,46.75,1317558.0,62032624.0
2011-03-10,47.4,46.3,47.44,46.13,1756187.0,81469352.0
2011-03-11,46.19,44.8,46.19,44.75,2294883.0,103665240.0
2011-03-14,44.45,45.68,46.16,44.2,1195643.0,54300048.0
2011-03-15,45.68,44.67,46.0,43.31,1512809.0,67089068.0
2011-03-16,44.72,44.86,44.96,44.32,923924.0,41214412.0
2011-03-17,44.5,43.88,44.78,43.58,835969.0,36949444.0
2011-03-18,43.94,43.7,44.51,43.5,1312215.0,57485780.0
2011-03-21,43.46,43.71,44.47,43.46,931847.0,40963380.0
2011-03-22,44.2,43.71,44.45,43.56,946871.0,41568608.0
2011-03-23,43.6,43.65,43.8,42.8,1273057.0,55111592.0
2011-03-24,43.71,44.34,44.4,43.22,1419503.0,62651536.0
2011-03-25,44.3,43.78,44.42,43.3,1223034.0,53586052.0
2011-03-28,43.8,42.18,43.88,42.0,2100184.0,89492768.0
2011-03-29,42.18,42.18,42.18,42.18,0.0,0.0
2011-03-30,40.11,40.3,41.2,40.0,1851929.0,74883408.0
2011-03-31,40.31,40.38,41.17,40.31,719251.0,29275596.0
2011-04-01,40.4,40.58,41.09,40.11,659412.0,26642216.0
2011-04-06,40.46,38.71,40.46,38.4,1721954.0,67192112.0
2011-04-07,38.72,39.11,39.5,38.4,1746300.0,67942184.0
2011-04-08,39.11,40.0,40.0,38.66,1087703.0,42950244.0
2011-04-11,40.49,40.3,41.88,40.14,1417238.0,57868876.0
2011-04-12,40.3,40.3,40.98,40.01,708423.0,28676472.0
2011-04-13,40.31,40.57,40.69,39.93,1044577.0,41921496.0
2011-04-14,40.71,40.32,40.99,40.18,846873.0,34385140.0
2011-04-15,40.33,40.53,40.56,39.81,1020849.0,41053260.0
2011-04-18,33.5,34.56,34.9,32.68,1815486.0,61454024.0
2011-04-19,34.0,34.21,34.34,33.55,995287.0,33783916.0
2011-04-20,34.4,34.67,34.86,34.21,896728.0,30923550.0
2011-04-21,34.8,34.53,34.88,34.22,698443.0,24126550.0
2011-04-22,34.53,33.8,34.53,33.71,651921.0,22180916.0
2011-04-25,33.83,32.48,34.0,32.46,1046457.0,34407900.0
2011-04-26,32.53,32.17,32.85,32.0,602864.0,19503782.0
2011-04-27,32.35,31.19,32.64,30.98,999679.0,31465262.0
2011-04-28,31.15,30.03,31.5,29.98,1006352.0,30595678.0
2011-04-29,30.05,30.53,30.7,29.98,637316.0,19309252.0
2011-05-03,30.5,30.6,30.8,30.0,832466.0,25401294.0
2011-05-04,30.55,29.98,30.76,29.93,929348.0,28202746.0
2011-05-05,29.98,30.17,30.46,29.73,444227.0,13390931.0
2011-05-06,29.95,32.38,32.5,29.77,2306494.0,72573944.0
2011-05-09,32.39,32.28,32.69,32.05,1096538.0,35426432.0
2011-05-10,32.4,32.7,33.66,32.32,1706860.0,56360500.0
2011-05-11,32.59,32.64,33.1,32.36,840367.0,27510384.0
2011-05-12,32.4,31.54,32.9,31.5,903781.0,29018130.0
2011-05-13,31.4,31.71,31.83,31.21,613302.0,19321038.0
2011-05-16,31.7,32.55,32.9,31.6,1712775.0,55579672.0
2011-05-17,32.45,30.64,32.45,30.1,2312223.0,71166424.0
2011-05-18,30.25,30.64,31.0,30.15,764303.0,23349588.0
2011-05-19,30.75,30.84,31.77,30.75,575396.0,17961660.0
2011-05-20,30.4,30.68,30.8,30.4,566005.0,17289742.0
2011-05-23,30.67,30.19,30.85,29.9,953575.0,28874960.0
2011-05-24,30.17,29.96,30.36,28.62,953889.0,28090816.0
2011-05-25,29.88,29.25,29.88,29.11,649023.0,19058182.0
2011-05-26,29.26,28.98,29.48,28.9,551685.0,16097714.0
2011-05-27,28.99,29.35,29.8,28.61,919133.0,26898288.0
2011-05-30,29.0,28.7,29.35,28.37,893512.0,25789838.0
2011-05-31,28.3,28.98,28.98,28.3,732906.0,21014578.0
2011-06-01,29.03,29.42,29.48,28.63,953270.0,27942194.0
2011-06-02,29.01,29.6,29.8,28.81,1049187.0,30648918.0
2011-06-03,29.58,30.02,30.19,29.55,721237.0,21596630.0
2011-06-07,29.7,30.01,30.21,29.7,563224.0,16904412.0
2011-06-08,30.1,30.26,30.38,29.45,657474.0,19741210.0
2011-06-09,30.0,29.6,30.05,29.54,448872.0,13356902.0
2011-06-10,29.25,30.29,32.2,29.0,1263328.0,38205408.0
2011-06-13,29.92,30.42,30.55,29.1,1180229.0,35609128.0
2011-06-14,30.42,30.82,31.14,30.2,808563.0,24926834.0
2011-06-15,30.8,30.87,31.04,30.6,811679.0,25101546.0
2011-06-16,30.38,29.97,30.72,29.82,702819.0,21368768.0
2011-06-17,29.86,30.0,30.4,29.86,743301.0,22419090.0
2011-06-20,30.0,29.6,30.0,29.52,507815.0,15098362.0
2011-06-21,29.78,29.73,29.85,29.27,605784.0,17885468.0
