,open,close,high,low,volume,money
2011-01-04,18.78,19.81,20.3,18.5,16987890.0,337110880.0
2011-01-05,19.75,19.79,20.27,19.4,13980982.0,276518400.0
2011-01-06,20.16,20.67,21.15,19.85,20047788.0,413074272.0
2011-01-07,20.4,20.52,20.97,20.29,10492847.0,216217840.0
2011-01-10,20.44,19.39,20.77,19.3,10256329.0,204037424.0
2011-01-11,19.41,20.09,20.1,19.26,8575639.0,169962048.0
2011-01-12,20.11,19.72,20.15,19.54,8117408.0,160062832.0
2011-01-13,19.71,20.34,20.5,19.69,8872859.0,178632464.0
2011-01-14,20.26,21.01,21.34,19.9,15795180.0,330784416.0
2011-01-17,20.75,20.3,21.25,20.0,15285717.0,312674560.0
2011-01-18,20.36,18.92,20.4,18.52,15374301.0,299749312.0
2011-01-19,18.8,18.77,19.0,18.01,13930009.0,259791888.0
2011-01-20,18.74,18.54,19.39,18.49,7682667.0,145037216.0
2011-01-21,18.52,18.63,19.51,18.5,8344040.0,157624304.0
2011-01-24,18.8,19.64,19.85,18.61,10427327.0,202317344.0
2011-01-25,19.42,19.17,20.16,18.68,7538620.0,145427712.0
2011-01-26,19.07,19.89,19.95,19.02,10798476.0,213341808.0
2011-01-27,19.3,18.99,19.38,18.69,13022757.0,246890208.0
2011-01-28,18.9,18.67,19.5,18.06,11122249.0,207863200.0
2011-01-31,18.65,18.17,18.65,18.14,9503081.0,173964656.0
2011-02-01,18.25,18.32,18.7,18.15,6581609.0,120548720.0
2011-02-09,18.08,16.98,18.08,16.8,12163920.0,209484896.0
2011-02-10,17.0,17.12,17.29,16.8,11937706.0,203153440.0
2011-02-11,17.29,17.8,17.82,16.91,17193552.0,297502016.0
2011-02-14,17.75,17.97,18.12,17.61,14840038.0,266000960.0
2011-02-15,18.0,17.8,18.09,17.54,9897317.0,176028048.0
2011-02-16,17.66,17.81,17.85,17.66,7140508.0,126700928.0
2011-02-17,17.81,17.14,17.85,16.9,18880860.0,324081984.0
2011-02-18,17.0,17.1,17.44,16.91,8919265.0,153450512.0
2011-02-21,16.93,17.32,17.34,16.81,8212738.0,140968560.0
2011-02-22,17.41,17.26,17.43,16.8,11891241.0,203929328.0
2011-02-23,17.18,17.21,17.32,17.02,5270527.0,90467696.0
2011-02-24,17.14,17.03,17.2,16.81,7949212.0,135082256.0
2011-02-25,17.03,17.2,17.35,16.89,8865584.0,152328400.0
2011-02-28,17.1,17.19,17.29,16.98,11461358.0,195667392.0
2011-03-01,17.14,17.64,17.85,17.08,16355199.0,286576896.0
2011-03-02,17.54,17.19,17.54,17.08,13710234.0,236196192.0
2011-03-03,17.17,17.19,17.45,17.07,12561386.0,216031200.0
2011-03-04,17.18,17.49,17.63,17.0,14172958.0,245647472.0
2011-03-07,17.59,17.82,18.04,17.59,23842382.0,425242016.0
2011-03-08,17.92,18.15,18.34,17.6,21585056.0,389290368.0
2011-03-09,18.19,18.0,18.19,17.77,18098384.0,325070752.0
2011-03-10,18.0,17.88,18.28,17.76,13099704.0,236353616.0
2011-03-11,17.82,17.3,17.98,17.2,15048784.0,264427632.0
2011-03-14,17.22,17.4,17.56,17.1,9603978.0,166035936.0
2011-03-15,17.38,17.26,17.56,17.03,9898694.0,171005072.0
2011-03-16,17.29,17.27,17.53,17.2,7635036.0,132227752.0
2011-03-17,17.15,16.99,17.2,16.9,10038555.0,171027312.0
2011-03-18,17.13,16.89,17.19,16.57,12883907.0,216781248.0
2011-03-21,16.71,17.03,17.25,16.67,9751741.0,166010000.0
2011-03-22,17.05,16.87,17.08,16.64,6597685.0,111060816.0
2011-03-23,16.9,17.42,17.93,16.74,24547392.0,429843808.0
2011-03-24,17.38,17.32,17.58,17.22,13988886.0,243723952.0
2011-03-25,17.44,17.73,17.86,17.26,17705848.0,312692224.0
2011-03-28,17.82,17.73,18.4,17.7,20704652.0,374966592.0
2011-03-29,17.75,17.78,18.2,17.47,14381958.0,255772128.0
2011-03-30,17.71,17.3,18.2,17.27,11373701.0,199532688.0
2011-03-31,17.2,16.92,17.4,16.85,8783246.0,150041616.0
2011-04-01,17.05,17.24,17.27,16.92,5952083.0,101934392.0
2011-04-06,17.17,17.28,17.49,17.0,8737367.0,150771568.0
2011-04-07,17.34,17.32,17.59,17.2,7310883.0,127140600.0
2011-04-08,17.3,17.06,17.3,16.89,13635821.0,231737280.0
2011-04-11,17.0,16.4,17.01,16.35,24183316.0,403469280.0
2011-04-12,16.31,16.11,16.31,16.0,18591824.0,299506976.0
2011-04-13,16.05,16.21,16.29,15.73,12943854.0,207863296.0
2011-04-14,16.12,15.92,16.19,15.85,12320453.0,196849408.0
2011-04-15,15.85,15.94,16.05,15.67,13183437.0,208973488.0
2011-04-18,15.98,16.26,16.36,15.86,16567137.0,268270912.0
2011-04-19,16.18,15.87,16.18,15.77,8597571.0,136799888.0
2011-04-20,15.99,15.95,16.12,15.8,6459393.0,103258304.0
2011-04-21,16.03,16.19,16.24,15.94,7466983.0,120364128.0
2011-04-22,16.12,16.2,16.25,15.96,7499910.0,120656696.0
2011-04-25,15.91,15.09,15.91,15.08,18059028.0,276810848.0
2011-04-26,15.11,14.96,15.16,14.81,6932869.0,103868072.0
2011-04-27,15.0,14.97,15.07,14.79,5911282.0,88217904.0
2011-04-28,15.0,14.56,15.08,14.5,5817544.0,85996424.0
2011-04-29,14.61,14.82,14.92,14.61,4568834.0,67535232.0
2011-05-03,14.8,14.81,14.82,14.53,4571665.0,67045136.0
2011-05-04,14.85,15.02,15.32,14.82,8947809.0,135197728.0
2011-05-05,14.97,15.02,15.11,14.75,3508422.0,52481712.0
2011-05-06,15.0,14.96,15.07,14.81,3842123.0,57466956.0
2011-05-09,14.97,15.03,15.12,14.93,3800503.0,57043092.0
2011-05-10,15.09,15.06,15.16,14.97,3997006.0,60161200.0
2011-05-11,15.15,14.95,15.2,14.81,3579116.0,53557420.0
