day,market_cap
2010-10-18,213.8657
2010-10-19,222.9597
2010-10-20,232.0537
2010-10-21,231.5833
2010-10-22,232.3673
2010-10-25,239.5798
2010-10-26,260.4333
2010-10-27,247.2626
2010-10-28,245.3811
2010-10-29,249.9281
2010-11-01,267.3322
2010-11-02,258.7085
2010-11-03,243.8132
2010-11-04,249.6145
2010-11-05,247.733
2010-11-08,251.1825
2010-11-09,259.9629
2010-11-10,254.0047
2010-11-11,248.2034
2010-11-12,224.5277
2010-11-15,227.5067
2010-11-16,217.1584
2010-11-17,212.7682
2010-11-18,215.2769
2010-11-19,219.9807
2010-11-22,221.235
2010-11-23,214.0225
2010-11-24,219.0399
2010-11-25,222.9597
2010-11-26,222.4893
2010-11-29,224.2141
2010-11-30,214.3361
2010-12-01,211.2002
2010-12-02,211.9842
2010-12-03,210.2595
2010-12-06,207.9076
2010-12-07,208.5348
2010-12-08,205.8693
2010-12-09,197.71599999999998
2010-12-10,202.1062
2010-12-13,208.378
2010-12-14,209.9459
2010-12-15,209.0051
2010-12-16,209.0051
2010-12-17,206.0261
2010-12-20,203.831
2010-12-21,206.9668
2010-12-22,206.6532
2010-12-23,200.8519
2010-12-24,196.6185
2010-12-27,185.9566
2010-12-28,179.9984
2010-12-29,182.6639
2010-12-30,182.1935
2010-12-31,187.8381
2011-01-04,190.0332
2011-01-05,190.5036
2011-01-06,188.4653
2011-01-07,189.7196
2011-01-10,181.4096
2011-01-11,182.8207
2011-01-12,186.1134
2011-01-13,185.0158
2011-01-14,179.3713
2011-01-17,168.0822
2011-01-18,169.8069
2011-01-19,173.0995
2011-01-20,164.4759
2011-01-21,167.1414
2011-01-24,164.3191
2011-01-25,166.671
2011-01-26,169.0229
2011-01-27,173.0995
2011-01-28,174.1971
2011-01-31,174.6675
2011-02-01,173.4131
2011-02-09,171.3748
2011-02-10,177.9601
2011-02-11,179.8416
2011-02-14,185.0158
2011-02-15,184.2318
2011-02-16,186.4269
2011-02-17,192.8555
2011-02-18,187.3677
2011-02-21,189.7196
2011-02-22,181.2528
2011-02-23,183.6047
2011-02-24,185.3294
2011-02-25,195.9913
2011-02-28,195.3641
2011-03-01,196.1481
2011-03-02,194.5802
2011-03-03,191.6011
2011-03-04,195.3641
2011-03-07,198.6568
2011-03-08,200.6951
2011-03-09,198.1864
2011-03-10,193.0122
2011-03-11,191.7579
2011-03-14,193.0122
2011-03-15,187.0541
2011-03-16,194.737
2011-03-17,196.3049
2011-03-18,193.0122
2011-03-21,187.8381
2011-03-22,188.3085
2011-03-23,190.6604
2011-03-24,187.8381
2011-03-25,190.6604
2011-03-28,193.953
2011-03-29,188.4653
2011-03-30,185.643
2011-03-31,183.1343
2011-04-01,185.1726
2011-04-06,187.3677
2011-04-07,191.1307
2011-04-08,192.6987
2011-04-11,189.8764
2011-04-12,202.5766
2011-04-13,202.1062
2011-04-14,201.0087
2011-04-15,200.5383
2011-04-18,207.1236
2011-04-19,203.6742
2011-04-20,202.8902
2011-04-21,204.1446
2011-04-22,208.0644
2011-04-25,195.9913
2011-04-26,191.2875
2011-04-27,187.3677
2011-04-28,179.0577
2011-04-29,182.3503
2011-05-03,182.9775
2011-05-04,174.981
2011-05-05,177.6465
2011-05-06,178.5873
2011-05-09,179.2145
2011-05-10,181.5664
2011-05-11,183.7615
2011-05-12,176.8626
2011-05-13,179.528
2011-05-16,178.5873
2011-05-17,176.8626
2011-05-18,179.3713
2011-05-19,175.4514
2011-05-20,174.8243
2011-05-23,168.0822
2011-05-24,169.1797
