day,market_cap
2010-10-18,160.6056
2010-10-19,160.2066
2010-10-20,155.0194
2010-10-21,154.4208
2010-10-22,154.8198
2010-10-25,160.4061
2010-10-26,160.2066
2010-10-27,156.2164
2010-10-28,156.4159
2010-10-29,158.81
2010-11-01,160.8051
2010-11-02,159.4086
2010-11-03,159.0096
2010-11-04,161.2042
2010-11-05,161.0047
2010-11-08,164.7954
2010-11-09,162.4012
2010-11-10,160.2066
2010-11-11,162.6007
2010-11-12,154.4208
2010-11-15,156.2164
2010-11-16,151.2287
2010-11-17,147.2385
2010-11-18,148.4355
2010-11-19,148.0365
2010-11-22,147.039
2010-11-23,141.8517
2010-11-24,144.8443
2010-11-25,157.4135
2010-11-26,158.81
2010-11-29,157.4135
2010-11-30,149.6326
2010-12-01,151.6277
2010-12-02,150.6301
2010-12-03,149.0341
2010-12-06,148.4355
2010-12-07,148.236
2010-12-08,149.0341
2010-12-09,147.2385
2010-12-10,148.4355
2010-12-13,152.8247
2010-12-14,153.0243
2010-12-15,151.4282
2010-12-16,150.8296
2010-12-17,152.2262
2010-12-20,150.6301
2010-12-21,152.2262
2010-12-22,152.6252
2010-12-23,150.0316
2010-12-24,148.635
2010-12-27,148.236
2010-12-28,141.6522
2010-12-29,143.2483
2010-12-30,141.4527
2010-12-31,143.0487
2011-01-04,143.8468
2011-01-05,144.4453
2011-01-06,146.2409
2011-01-07,146.6399
2011-01-10,144.2458
2011-01-11,144.8443
2011-01-12,147.039
2011-01-13,146.2409
2011-01-14,146.6399
2011-01-17,143.4478
2011-01-18,143.4478
2011-01-19,146.2409
2011-01-20,142.6497
2011-01-21,147.438
2011-01-24,147.438
2011-01-25,138.6595
2011-01-26,140.4551
2011-01-27,140.4551
2011-01-28,140.2556
2011-01-31,141.4527
2011-02-01,141.2532
2011-02-09,139.4576
2011-02-10,141.0536
2011-02-11,143.2483
2011-02-14,143.2483
2011-02-15,144.8443
2011-02-16,145.4429
2011-02-17,145.4429
2011-02-18,146.2409
2011-02-21,149.6326
2011-02-22,144.8443
2011-02-23,146.0414
2011-02-24,145.2434
2011-02-25,145.2434
2011-02-28,145.6424
2011-03-01,147.6375
2011-03-02,145.6424
2011-03-03,146.2409
2011-03-04,147.438
2011-03-07,150.4306
2011-03-08,149.2336
2011-03-09,150.2311
2011-03-10,147.438
2011-03-11,146.0414
2011-03-14,145.4429
2011-03-15,143.8468
2011-03-16,144.8443
2011-03-17,146.2409
2011-03-18,147.2385
2011-03-21,146.2409
2011-03-22,146.6399
2011-03-23,148.4355
2011-03-24,149.2336
2011-03-25,149.6326
2011-03-28,149.4331
2011-03-29,150.4306
2011-03-30,151.6277
2011-03-31,148.4355
2011-04-01,151.6277
2011-04-06,154.2213
2011-04-07,155.2189
2011-04-08,155.2189
2011-04-11,154.6203
2011-04-12,160.8051
2011-04-13,160.2066
2011-04-14,159.2091
2011-04-15,156.6154
2011-04-18,159.0096
2011-04-19,155.6179
2011-04-20,155.0194
2011-04-21,155.4184
2011-04-22,157.8125
2011-04-25,156.6154
2011-04-26,158.81
2011-04-27,157.0145
2011-04-28,154.4208
2011-04-29,161.4037
2011-05-03,166.99
2011-05-04,165.1944
2011-05-05,164.5958
2011-05-06,165.1944
2011-05-09,169.3841
2011-05-10,169.3841
2011-05-11,165.5934
