,display_name,date,weight,market_cap
000413.XSHE,东旭光电,2017-02-21,0.203,504.3667
000415.XSHE,渤海租赁,2017-02-21,0.13699999999999998,449.6147
002426.XSHE,胜利精密,2017-02-21,0.139,262.7539
601009.XSHG,南京银行,2017-02-21,0.44299999999999995,744.6167
600252.XSHG,中恒集团,2017-02-21,0.14,167.1527
002049.XSHE,紫光国微,2017-02-21,0.11900000000000001,187.3854
000826.XSHE,启迪桑德,2017-02-21,0.185,293.7075
600256.XSHG,广汇能源,2017-02-21,0.145,243.8405
000709.XSHE,河钢股份,2017-02-21,0.172,444.9197
000559.XSHE,万向钱潮,2017-02-21,0.152,293.8998
000156.XSHE,华数传媒,2017-02-21,0.106,253.8466
000157.XSHE,中联重科,2017-02-21,0.212,370.944
002236.XSHE,大华股份,2017-02-21,0.21100000000000002,435.7815
000623.XSHE,吉林敖东,2017-02-21,0.222,271.8198
600827.XSHG,百联股份,2017-02-21,0.129,349.69699999999995
002450.XSHE,ST康得新,2017-02-21,0.469,639.5694
000555.XSHE,神州信息,2017-02-21,0.059000000000000004,206.5597
600498.XSHG,烽火通信,2017-02-21,0.138,268.4736
600893.XSHG,航发动力,2017-02-21,0.287,666.6567
600783.XSHG,鲁信创投,2017-02-21,0.077,182.2936
601872.XSHG,招商轮船,2017-02-21,0.114,281.4012
600089.XSHG,特变电工,2017-02-21,0.324,341.9659
600895.XSHG,张江高科,2017-02-21,0.14300000000000002,274.5827
600085.XSHG,同仁堂,2017-02-21,0.177,421.8643
000792.XSHE,盐湖股份,2017-02-21,0.146,347.3326
600005.XSHG,武钢股份,2017-02-21,0.198,374.4792
300027.XSHE,华谊兄弟,2017-02-21,0.18600000000000005,293.6113
600000.XSHG,浦发银行,2017-02-21,1.534,3649.1658
600648.XSHG,外高桥,2017-02-21,0.08,238.8775
600649.XSHG,城投控股,2017-02-21,0.348,657.4131
300124.XSHE,汇川技术,2017-02-21,0.21,366.9907
600415.XSHG,小商品城,2017-02-21,0.23199999999999998,447.4322
601633.XSHG,长城汽车,2017-02-21,0.14800000000000002,1132.6941
600008.XSHG,首创股份,2017-02-21,0.107,208.7326
600009.XSHG,上海机场,2017-02-21,0.281,534.731
300144.XSHE,宋城演艺,2017-02-21,0.127,300.4005
600066.XSHG,宇通客车,2017-02-21,0.285,449.6511
002568.XSHE,百润股份,2017-02-21,0.038,188.1753
600060.XSHG,海信电器,2017-02-21,0.145,247.5646
600061.XSHG,国投资本,2017-02-21,0.183,590.3254
000425.XSHE,徐工机械,2017-02-21,0.15,281.7107
601988.XSHG,中国银行,2017-02-21,0.8,10921.7871
