,display_name,date,weight,market_cap
000002.XSHE,万科A,2011-01-04,1.51,967.5785
000039.XSHE,中集集团,2011-01-04,0.35,613.4161
000061.XSHE,农产品,2011-01-04,0.17,135.4879
000069.XSHE,华侨城A,2011-01-04,0.35,399.3109
000100.XSHE,TCL集团,2011-01-04,0.16,147.4862
000623.XSHE,吉林敖东,2011-01-04,0.28,200.1019
000625.XSHE,长安汽车,2011-01-04,0.12,225.8214
000686.XSHE,东北证券,2011-01-04,0.1,144.2928
000758.XSHE,中色股份,2011-01-04,0.22,208.9138
000778.XSHE,新兴铸管,2011-01-04,0.19,174.627
000825.XSHE,太钢不锈,2011-01-04,0.28,314.4329
000839.XSHE,中信国安,2011-01-04,0.2,190.0332
000858.XSHE,五粮液,2011-01-04,1.17,1314.1637
000878.XSHE,云南铜业,2011-01-04,0.32,359.5387
000895.XSHE,双汇发展,2011-01-04,0.47,532.6695
000951.XSHE,中国重汽,2011-01-04,0.14,116.5164
002122.XSHE,天马股份,2011-01-04,0.12,164.53799999999995
002142.XSHE,宁波银行,2011-01-04,0.26,367.6871
002202.XSHE,金风科技,2011-01-04,0.52,603.8572
002242.XSHE,九阳股份,2011-01-04,0.06,116.8058
002294.XSHE,信立泰,2011-01-04,0.09,163.8259
002415.XSHE,海康威视,2011-01-04,0.08,474.15
600016.XSHG,民生银行,2011-01-04,2.03,1354.437
600017.XSHG,日照港,2011-01-04,0.1,93.0978
600029.XSHG,南方航空,2011-01-04,0.38,994.5195
600030.XSHG,中信证券,2011-01-04,1.6,1287.9683
600031.XSHG,三一重工,2011-01-04,0.78,1095.0125
600058.XSHG,五矿发展,2011-01-04,0.25,353.0874
600087.XSHG,长航油运,2011-01-04,0.08,79.5666
600096.XSHG,云天化,2011-01-04,0.14,160.572
600100.XSHG,同方股份,2011-01-04,0.33,263.7679
600104.XSHG,上海汽车,2011-01-04,0.49,1388.2117
600125.XSHG,铁龙物流,2011-01-04,0.18,145.3146
600132.XSHG,重庆啤酒,2011-01-04,0.28,258.8278
600177.XSHG,雅戈尔,2011-01-04,0.27,250.2712
600183.XSHG,生益科技,2011-01-04,0.12,111.5889
600220.XSHG,江苏阳光,2011-01-04,0.12,92.912
600239.XSHG,云南城投,2011-01-04,0.16,125.4779
600307.XSHG,酒钢宏兴,2011-01-04,0.07,204.5679
600312.XSHG,平高电气,2011-01-04,0.16,112.9354
600320.XSHG,振华重工,2011-01-04,0.21,290.1985
600325.XSHG,华发股份,2011-01-04,0.12,87.669
600331.XSHG,宏达股份,2011-01-04,0.18,166.4616
600376.XSHG,首开股份,2011-01-04,0.19,213.1636
600415.XSHG,小商品城,2011-01-04,0.42,476.6895
600456.XSHG,宝钛股份,2011-01-04,0.11,121.1198
600489.XSHG,中金黄金,2011-01-04,0.51,574.9287
600500.XSHG,中化国际,2011-01-04,0.15,172.36700000000005
600516.XSHG,方大炭素,2011-01-04,0.16,182.9081
600517.XSHG,置信电气,2011-01-04,0.11,102.8906
600549.XSHG,厦门钨业,2011-01-04,0.24,343.7179
600582.XSHG,天地科技,2011-01-04,0.19,260.9928
600596.XSHG,新安股份,2011-01-04,0.13,104.5944
600597.XSHG,光明乳业,2011-01-04,0.08,109.8505
600611.XSHG,大众交通,2011-01-04,0.09,121.6735
600635.XSHG,大众公用,2011-01-04,0.16,110.8642
600664.XSHG,哈药股份,2011-01-04,0.3,280.3206
600674.XSHG,川投能源,2011-01-04,0.1,137.9791
600675.XSHG,中华企业,2011-01-04,0.13,102.1225
600690.XSHG,青岛海尔,2011-01-04,0.4,375.1893
600812.XSHG,华北制药,2011-01-04,0.23,163.441
600839.XSHG,四川长虹,2011-01-04,0.13,106.2049
600887.XSHG,伊利股份,2011-01-04,0.55,312.9349
600999.XSHG,招商证券,2011-01-04,0.25,691.2769999999998
601006.XSHG,大秦铁路,2011-01-04,0.84,1177.45
601099.XSHG,太平洋,2011-01-04,0.06,166.1161
601158.XSHG,重庆水务,2011-01-04,0.14,399.84
601288.XSHG,农业银行,2011-01-04,0.49,8672.0029
601299.XSHG,中国北车,2011-01-04,0.46,647.4
601318.XSHG,中国平安,2011-01-04,3.38,4350.2812
601390.XSHG,中国中铁,2011-01-04,0.41,954.2355
601628.XSHG,中国人寿,2011-01-04,0.58,6153.2261
